"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 09, 2019","5,987.88","5,945.40","6,004.84","5,896.70","-","0.86%"
"Sep 06, 2019","5,936.87","5,902.75","5,949.75","5,886.51","-","0.91%"
"Sep 05, 2019","5,883.56","5,951.48","5,951.79","5,874.68","-","-0.99%"
"Sep 04, 2019","5,942.50","5,894.25","5,971.56","5,852.50","-","0.85%"
"Sep 03, 2019","5,892.49","6,010.22","6,010.22","5,876.87","-","-2.39%"
"Aug 30, 2019","6,036.67","6,018.49","6,043.33","5,966.02","-","0.87%"
"Aug 29, 2019","5,984.42","6,073.95","6,073.95","5,970.24","-","-1.69%"
"Aug 28, 2019","6,087.60","6,137.24","6,138.24","6,056.56","-","-0.79%"
"Aug 27, 2019","6,136.08","6,123.05","6,160.56","6,095.88","-","0.82%"
"Aug 26, 2019","6,086.46","6,020.80","6,092.26","5,871.46","-","3.86%"
"Aug 23, 2019","5,859.98","5,817.30","5,897.50","5,739.96","-","0.28%"
"Aug 22, 2019","5,843.49","6,004.99","6,005.85","5,833.82","-","-2.69%"
"Aug 21, 2019","6,005.22","6,054.05","6,091.95","5,997.75","-","-1.08%"
"Aug 20, 2019","6,070.92","6,123.07","6,128.17","6,043.10","-","-0.81%"
"Aug 19, 2019","6,120.22","6,149.34","6,180.38","6,114.83","-","-0.06%"
"Aug 16, 2019","6,123.87","6,100.31","6,136.36","6,040.32","-","0.44%"
"Aug 14, 2019","6,097.26","6,084.37","6,120.35","6,048.73","-","1.07%"
"Aug 13, 2019","6,032.75","6,205.54","6,217.19","6,021.54","-","-3.01%"
"Aug 09, 2019","6,219.91","6,165.81","6,260.60","6,158.22","-","1.41%"
"Aug 08, 2019","6,133.45","6,087.66","6,149.31","6,024.05","-","1.27%"
"Aug 07, 2019","6,056.70","6,110.23","6,139.17","6,044.42","-","-0.77%"
"Aug 06, 2019","6,103.86","5,986.42","6,135.96","5,980.63","-","1.52%"
"Aug 05, 2019","6,012.19","6,038.32","6,038.32","5,949.25","-","-1.33%"
"Aug 02, 2019","6,093.21","6,074.19","6,158.60","5,993.80","-","-0.01%"
"Aug 01, 2019","6,093.56","6,172.01","6,185.41","6,035.79","-","-1.62%"
"Jul 31, 2019","6,194.00","6,149.08","6,210.46","6,122.42","-","0.28%"
"Jul 30, 2019","6,176.56","6,276.45","6,307.58","6,168.02","-","-1.39%"
"Jul 29, 2019","6,263.43","6,333.19","6,333.37","6,221.23","-","-0.44%"
"Jul 26, 2019","6,291.06","6,249.40","6,303.97","6,227.38","-","0.75%"
"Jul 25, 2019","6,244.50","6,242.82","6,303.30","6,223.50","-","0.23%"
"Jul 24, 2019","6,230.45","6,262.52","6,303.29","6,218.03","-","-0.50%"
"Jul 23, 2019","6,261.96","6,324.45","6,324.54","6,250.66","-","-0.82%"
"Jul 22, 2019","6,313.42","6,449.66","6,449.69","6,290.53","-","-2.28%"
"Jul 19, 2019","6,460.94","6,614.24","6,617.82","6,447.56","-","-2.02%"
"Jul 18, 2019","6,594.30","6,620.28","6,637.75","6,590.19","-","-0.38%"
"Jul 17, 2019","6,619.29","6,598.97","6,635.10","6,593.26","-","0.35%"
"Jul 16, 2019","6,596.05","6,586.64","6,604.53","6,555.39","-","0.53%"
"Jul 15, 2019","6,561.59","6,600.89","6,602.48","6,530.58","-","-0.26%"
"Jul 12, 2019","6,578.60","6,615.03","6,634.63","6,571.84","-","-0.28%"
"Jul 11, 2019","6,596.95","6,568.66","6,611.16","6,551.69","-","0.84%"
"Jul 10, 2019","6,542.01","6,581.19","6,608.43","6,534.83","-","-0.49%"
"Jul 09, 2019","6,574.28","6,583.91","6,599.50","6,505.75","-","-0.05%"
"Jul 08, 2019","6,577.44","6,765.84","6,765.84","6,556.03","-","-2.91%"
"Jul 05, 2019","6,774.56","6,794.36","6,818.50","6,758.85","-","-0.10%"
"Jul 04, 2019","6,781.09","6,776.66","6,801.99","6,767.11","-","0.27%"
"Jul 03, 2019","6,763.03","6,748.23","6,778.26","6,724.99","-","0.34%"
"Jul 02, 2019","6,740.01","6,746.38","6,748.26","6,687.34","-","0.18%"
"Jul 01, 2019","6,728.04","6,682.43","6,736.26","6,682.16","-","0.99%"
"Jun 28, 2019","6,661.83","6,690.29","6,703.60","6,652.74","-","-0.40%"
"Jun 27, 2019","6,688.31","6,654.33","6,713.82","6,654.22","-","0.55%"
"Jun 26, 2019","6,651.57","6,594.03","6,663.16","6,578.17","-","0.80%"
"Jun 25, 2019","6,598.81","6,550.30","6,606.51","6,519.98","-","0.76%"
"Jun 24, 2019","6,549.01","6,550.64","6,580.80","6,530.55","-","-0.05%"
"Jun 21, 2019","6,552.28","6,604.10","6,607.62","6,536.52","-","-0.72%"
"Jun 20, 2019","6,599.96","6,519.31","6,606.09","6,480.76","-","1.38%"
"Jun 19, 2019","6,510.42","6,534.28","6,584.48","6,475.74","-","-0.02%"
"Jun 18, 2019","6,511.70","6,523.74","6,551.72","6,482.18","-","0.09%"
"Jun 17, 2019","6,506.12","6,587.25","6,592.06","6,501.25","-","-1.15%"
"Jun 14, 2019","6,581.58","6,660.62","6,660.88","6,565.64","-","-1.02%"
"Jun 13, 2019","6,649.60","6,617.27","6,658.27","6,564.67","-","0.32%"
"Jun 12, 2019","6,628.44","6,683.04","6,683.18","6,616.76","-","-0.93%"
"Jun 11, 2019","6,690.81","6,679.96","6,713.95","6,635.20","-","0.47%"
"Jun 10, 2019","6,659.40","6,704.15","6,730.40","6,630.36","-","-0.22%"
"Jun 07, 2019","6,673.82","6,641.88","6,685.92","6,580.98","-","0.66%"
"Jun 06, 2019","6,630.28","6,781.68","6,781.68","6,619.65","-","-2.27%"
"Jun 04, 2019","6,784.11","6,773.22","6,814.52","6,766.53","-","-0.07%"
"Jun 03, 2019","6,788.76","6,723.91","6,794.34","6,706.74","-","1.15%"
"May 31, 2019","6,711.90","6,762.72","6,783.94","6,587.26","-","-0.32%"
"May 30, 2019","6,733.69","6,680.91","6,741.56","6,661.80","-","0.97%"
"May 29, 2019","6,669.21","6,712.39","6,714.06","6,657.50","-","-0.79%"
"May 28, 2019","6,722.28","6,743.46","6,750.12","6,671.43","-","-0.17%"
"May 27, 2019","6,733.48","6,665.69","6,743.27","6,638.57","-","1.31%"
"May 24, 2019","6,646.68","6,542.09","6,655.97","6,520.05","-","2.21%"
"May 23, 2019","6,503.18","6,614.57","6,763.20","6,478.49","-","-0.52%"
"May 22, 2019","6,537.03","6,512.72","6,563.06","6,484.96","-","0.65%"
"May 21, 2019","6,494.63","6,586.18","6,625.86","6,479.98","-","-1.06%"
"May 20, 2019","6,564.25","6,409.68","6,581.72","6,404.37","-","4.81%"
"May 17, 2019","6,263.12","6,146.04","6,275.63","6,127.62","-","2.25%"
"May 16, 2019","6,125.54","6,086.96","6,148.94","6,063.70","-","0.71%"
"May 15, 2019","6,082.60","6,143.15","6,144.87","6,072.27","-","-0.51%"
"May 14, 2019","6,113.67","6,086.71","6,162.89","6,047.29","-","0.61%"
"May 13, 2019","6,076.78","6,148.10","6,148.10","6,063.42","-","-1.05%"
"May 10, 2019","6,141.48","6,134.11","6,178.37","6,117.44","-","0.40%"
"May 09, 2019","6,117.12","6,136.34","6,147.93","6,085.84","-","-0.26%"
"May 08, 2019","6,132.88","6,212.47","6,212.47","6,127.03","-","-1.27%"
"May 07, 2019","6,211.94","6,311.80","6,313.42","6,201.94","-","-0.96%"
"May 06, 2019","6,272.45","6,308.11","6,308.11","6,260.28","-","-1.31%"
"May 03, 2019","6,355.40","6,344.63","6,385.70","6,339.70","-","0.49%"
"May 02, 2019","6,324.28","6,316.52","6,357.99","6,300.30","-","0.08%"
"Apr 30, 2019","6,319.39","6,357.83","6,357.83","6,268.99","-","-0.66%"
"Apr 26, 2019","6,361.67","6,326.84","6,368.16","6,290.00","-","0.97%"
"Apr 25, 2019","6,300.26","6,371.57","6,396.13","6,289.27","-","-0.88%"
"Apr 24, 2019","6,356.13","6,289.14","6,362.94","6,269.14","-","1.43%"
"Apr 23, 2019","6,266.61","6,312.74","6,341.60","6,260.21","-","-0.51%"
"Apr 22, 2019","6,298.67","6,446.13","6,446.13","6,290.10","-","-2.00%"
"Apr 18, 2019","6,426.91","6,504.21","6,518.24","6,412.30","-","-0.96%"
"Apr 16, 2019","6,488.95","6,440.28","6,502.36","6,440.21","-","1.08%"
"Apr 15, 2019","6,419.34","6,415.04","6,437.77","6,406.12","-","0.20%"
"Apr 12, 2019","6,406.27","6,392.53","6,416.05","6,372.05","-","0.34%"
"Apr 11, 2019","6,384.76","6,388.79","6,392.74","6,359.40","-","0.07%"
"Apr 10, 2019","6,380.10","6,424.14","6,451.02","6,373.95","-","-1.06%"
"Apr 09, 2019","6,448.73","6,410.84","6,457.04","6,367.37","-","0.63%"
"Apr 08, 2019","6,408.31","6,481.69","6,486.66","6,379.71","-","-0.75%"
"Apr 05, 2019","6,456.44","6,434.27","6,473.90","6,420.47","-","0.75%"
"Apr 04, 2019","6,408.36","6,434.40","6,465.75","6,386.78","-","-0.27%"
"Apr 03, 2019","6,425.83","6,461.70","6,507.94","6,414.31","-","-0.34%"
"Apr 02, 2019","6,448.01","6,440.33","6,462.60","6,400.58","-","0.42%"
"Apr 01, 2019","6,421.12","6,467.10","6,474.41","6,403.73","-","-0.18%"
"Mar 29, 2019","6,432.87","6,422.26","6,438.01","6,387.49","-","0.39%"
"Mar 28, 2019","6,407.96","6,332.96","6,417.10","6,318.83","-","1.38%"
"Mar 27, 2019","6,320.70","6,319.88","6,364.71","6,277.91","-","0.43%"
"Mar 26, 2019","6,293.75","6,211.42","6,308.47","6,205.88","-","1.53%"
"Mar 25, 2019","6,199.05","6,239.40","6,239.40","6,176.37","-","-1.10%"
"Mar 22, 2019","6,267.88","6,323.78","6,353.70","6,256.80","-","-0.67%"
"Mar 20, 2019","6,310.37","6,303.63","6,326.39","6,277.17","-","0.21%"
"Mar 19, 2019","6,297.18","6,275.94","6,305.40","6,265.08","-","0.50%"
"Mar 18, 2019","6,265.59","6,256.78","6,312.95","6,230.52","-","0.47%"
"Mar 15, 2019","6,236.39","6,144.89","6,268.39","6,144.30","-","1.31%"
