ip1,ip2,output
20.72,47.90,155.59
19.65,48.94,122.99
17.42,55.48,103.75
15.08,62.38,100.92
14.10,65.56,65.53
13.21,68.51,79.26
12.43,71.52,75.89
11.70,74.67,82.41
10.98,78.16,78.56
10.28,81.68,82.39
9.67,84.92,76.29
9.09,88.12,75.18
8.62,90.55,74.94
8.21,92.45,72.69
7.90,93.28,72.43
7.61,93.44,73.73
7.49,91.88,76.80
10.02,75.45,48.12
13.46,59.70,75.06
18.12,44.18,75.37
21.43,34.87,90.92
23.24,30.93,68.08
24.23,28.67,67.32
24.41,27.67,70.04
23.84,27.92,63.76
22.42,29.95,62.70
19.45,38.57,55.42
16.93,56.18,62.55
16.11,51.01,63.00
15.33,54.06,80.63
14.63,46.50,81.22
13.98,47.84,85.00
13.28,49.79,85.41
12.58,51.80,84.20
11.95,53.57,82.00
11.32,55.21,84.60
10.70,56.74,92.59
10.11,58.76,93.78
9.56,60.98,94.79
9.02,63.50,94.22
8.70,65.38,92.52
11.47,56.37,53.36
14.82,45.94,101.48
19.29,34.37,102.32
23.44,24.27,149.41
25.07,21.24,158.13
25.77,19.53,152.14
25.75,18.95,154.21
24.90,19.61,148.32
23.25,21.93,138.45
20.08,31.36,142.02
17.54,36.34,89.44
16.70,40.31,102.12
15.97,40.85,94.72
15.27,44.33,93.07
14.68,46.16,80.53
14.11,49.60,83.17
13.56,53.04,75.83
13.10,56.02,74.33
12.79,58.36,77.48
12.64,59.73,82.14
12.43,61.02,85.00
12.22,62.37,89.89
11.91,64.05,72.60
11.77,64.89,71.65
13.44,58.21,50.16
15.58,51.17,90.11
18.77,42.44,102.32
18.93,46.48,149.41
18.56,55.92,158.13
19.00,54.72,152.14
19.78,50.32,154.21
19.23,51.09,152.00
18.15,55.81,154.45
16.98,62.36,137.88
15.99,68.63,155.79
15.40,73.72,98.25
14.97,79.19,95.58
14.49,85.34,98.88
14.21,88.61,79.23
13.91,90.38,74.58
13.23,92.66,73.73
12.53,94.80,74.26
11.84,97.59,90.53
11.16,100.00,91.97
10.65,100.00,89.91
11.04,100.00,88.27
11.35,97.15,87.65
11.21,95.73,75.12
11.62,93.57,58.27
12.88,89.24,109.30
15.38,80.57,145.12
18.38,69.75,161.80
18.84,65.38,164.39
19.45,62.39,156.56
20.92,57.09,167.21
20.99,57.01,155.33
19.85,61.57,137.47
18.54,66.66,128.75
17.04,73.06,129.44
16.48,75.01,118.89
16.03,76.32,94.88
15.63,77.81,89.46
15.22,79.39,80.98
14.59,82.21,77.12
13.66,86.89,86.63
12.88,91.33,85.81
12.25,94.84,86.63
11.70,98.20,92.59
11.22,100.00,92.19
10.78,100.00,95.68
10.42,100.00,94.22
10.30,100.00,92.56
12.97,90.26,44.08
16.20,73.94,94.04
20.27,55.50,134.05
22.70,44.22,144.18
23.99,38.36,131.65
24.48,35.49,136.13
24.33,34.40,136.71
23.53,35.14,136.15
22.09,37.59,131.06
19.61,44.30,129.59
16.81,52.69,101.57
15.74,56.12,88.95
14.85,59.62,87.57
14.08,62.96,83.39
13.45,65.86,75.00
12.84,68.94,71.21
12.22,72.43,70.60
11.60,76.10,69.88
11.03,79.79,82.56
10.50,83.49,82.33
10.04,86.81,71.60
9.58,90.04,90.72
9.17,93.12,85.81
8.98,94.65,86.77
11.71,79.06,74.93
15.23,63.19,120.06
19.89,44.75,135.13
22.72,33.63,160.82
24.12,28.72,156.78
24.84,25.79,158.90
24.87,24.36,129.27
24.24,24.08,130.39
22.89,25.37,132.21
20.03,32.47,121.24
17.25,38.11,101.66
16.35,42.57,75.00
15.57,41.92,88.37
14.78,45.60,100.32
14.04,44.35,72.68
13.32,45.55,72.78
12.63,47.56,73.13
11.98,49.57,73.04
11.45,51.19,65.73
10.98,52.71,81.33
10.52,54.27,85.20
10.02,56.03,88.47
9.50,57.97,91.04
9.48,58.05,85.00
11.98,50.68,67.59
14.54,42.97,88.71
18.69,33.35,142.31
22.78,24.08,149.63
24.68,20.09,147.31
25.46,17.65,160.27
25.59,16.17,167.81
24.96,15.71,171.98
23.29,16.74,134.25
20.25,25.33,98.89
18.07,27.47,84.00
17.55,28.84,84.88
17.10,28.83,91.37
15.93,30.39,81.62
14.74,31.48,84.61
14.09,30.65,80.00
13.67,31.95,79.17
13.45,32.41,75.29
13.27,34.00,71.40
12.92,35.55,93.95
12.43,35.22,96.07
12.12,34.33,91.33
11.38,36.45,90.29
10.72,37.38,92.68
13.43,32.19,44.51
16.96,24.32,51.70
21.23,18.67,77.26
24.43,12.75,86.38
25.97,10.90,88.21
26.74,9.99,78.61
26.83,9.85,81.56
26.14,10.32,68.65
24.66,11.45,71.44
21.30,18.32,71.72
18.19,22.47,59.46
17.18,23.97,78.83
16.28,23.61,98.77
15.47,25.65,93.76
14.73,25.63,76.62
14.01,28.45,75.36
13.33,26.11,74.51
12.66,26.25,74.86
12.03,26.33,85.60
11.41,28.03,85.38
10.88,29.04,75.31
10.43,27.72,89.91
10.01,30.11,89.70
9.95,27.86,80.41
12.94,25.31,53.69
16.51,19.22,87.11
21.14,15.58,112.81
25.04,11.73,127.05
26.59,9.92,150.37
27.34,8.96,147.95
27.42,8.64,135.23
26.68,8.98,137.88
25.16,9.87,139.21
21.82,13.76,132.57
18.36,19.09,111.34
17.28,19.81,98.53
16.35,20.62,89.83
15.42,21.93,93.38
14.51,23.36,74.33
13.64,24.56,66.03
12.87,25.46,68.17
12.09,26.40,70.33
11.30,27.32,71.72
10.64,27.71,83.78
10.05,28.15,83.56
9.51,28.53,89.71
9.03,29.01,87.45
8.83,29.20,77.45
11.89,24.80,57.96
15.53,19.06,86.56
20.41,13.82,129.97
24.77,7.93,144.89
26.49,6.60,148.62
27.16,6.34,140.22
26.97,6.49,135.23
26.17,6.79,145.36
24.62,7.52,129.59
21.35,11.71,126.90
18.61,17.01,111.87
17.89,18.69,85.99
17.30,18.29,7.60
16.78,19.77,78.61
16.38,20.53,75.66
15.88,21.19,77.59
15.03,23.55,72.95
14.39,24.23,82.99
13.82,21.98,97.99
13.22,23.03,96.01
12.69,24.91,96.69
12.13,25.23,88.88
11.70,26.93,86.22
11.74,26.31,77.26
14.51,26.14,60.77
17.91,16.20,77.50
22.31,11.53,129.59
26.10,8.81,146.15
27.49,8.12,156.97
27.99,7.83,151.16
27.78,7.89,131.84
26.81,8.35,128.06
25.05,9.37,131.19
21.41,22.09,127.44
18.11,23.27,102.07
17.03,20.73,108.49
15.88,19.47,98.74
14.91,20.53,80.60
14.07,20.42,82.60
13.24,21.41,78.27
12.45,21.80,78.46
11.72,24.43,100.29
11.08,26.05,78.89
10.47,28.50,76.26
9.92,31.85,90.13
9.39,31.31,86.42
8.91,29.87,88.02
8.74,29.92,66.88
12.14,28.08,59.74
15.92,19.72,90.20
21.43,12.94,105.49
25.37,9.14,151.94
26.93,7.98,141.04
27.62,7.33,144.90
27.55,7.15,142.72
26.65,7.44,129.30
24.93,8.31,146.08
21.12,20.17,134.13
17.62,20.28,102.07
16.34,22.42,95.18
15.21,18.94,74.34
14.26,23.12,76.11
13.47,20.99,89.23
12.69,26.52,80.04
11.96,24.40,74.83
11.30,30.61,76.57
10.67,27.76,78.15
10.09,28.91,94.12
9.60,27.95,94.84
9.11,29.67,89.09
8.64,31.02,86.63
8.54,31.26,68.51
12.01,28.36,14.59
15.81,19.84,77.51
21.11,13.24,133.14
25.09,9.44,143.47
26.96,8.27,132.97
27.88,7.67,137.02
27.95,7.50,133.81
27.22,7.68,136.15
25.58,8.37,142.81
21.85,16.20,148.32
18.46,16.72,111.61
17.37,17.42,76.44
16.44,16.17,89.24
15.57,19.75,75.00
14.71,18.72,75.29
14.18,22.70,66.72
13.97,21.43,67.97
13.44,25.73,85.21
12.72,25.97,83.19
12.17,28.30,81.75
10.99,31.48,84.79
9.96,35.51,89.70
9.34,38.34,86.63
9.18,39.66,67.16
12.67,37.45,37.17
16.45,25.46,84.34
21.88,15.83,129.91
25.40,10.67,131.46
26.80,9.48,138.14
