"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 24, 2019","26,167.49","26,440.85","26,507.37","26,010.83","314.88M","-0.92%"
"Sep 23, 2019","26,410.61","25,726.96","26,859.94","25,726.96","37.34B","3.19%"
"Sep 20, 2019","25,594.02","23,938.59","26,227.16","23,831.92","888.67M","7.45%"
"Sep 19, 2019","23,818.92","24,029.38","24,091.60","23,770.01","186.74M","-0.82%"
"Sep 18, 2019","24,016.68","23,916.04","24,084.85","23,796.29","245.42M","0.72%"
"Sep 17, 2019","23,844.98","23,986.36","24,155.70","23,807.03","1.04B","-0.12%"
"Sep 16, 2019","23,874.26","23,650.62","23,920.34","23,525.00","283.04M","1.22%"
"Sep 13, 2019","23,587.31","23,165.43","23,624.44","23,165.43","627.18M","1.90%"
"Sep 12, 2019","23,147.25","23,291.28","23,482.23","23,124.90","200.72M","-0.49%"
"Sep 11, 2019","23,262.26","23,230.20","23,408.03","23,162.20","156.54M","0.43%"
"Sep 09, 2019","23,162.39","22,943.03","23,222.92","22,815.93","251.92M","1.05%"
"Sep 06, 2019","22,921.16","22,663.97","22,957.25","22,607.90","623.67M","1.07%"
"Sep 05, 2019","22,677.95","22,509.36","22,712.89","22,462.55","393.36M","0.92%"
"Sep 04, 2019","22,471.07","22,770.03","22,847.01","22,322.68","568.82M","-1.31%"
"Sep 03, 2019","22,769.30","23,407.40","23,407.40","22,677.80","524.27M","-2.78%"
"Aug 30, 2019","23,420.17","23,330.22","23,462.73","23,205.59","250.69M","0.74%"
"Aug 29, 2019","23,248.21","23,383.66","23,383.66","23,132.31","251.14M","-0.16%"
"Aug 28, 2019","23,285.56","23,483.79","23,509.72","23,244.58","569.88M","-0.61%"
"Aug 27, 2019","23,428.52","23,235.14","23,488.77","23,129.03","475.70M","1.19%"
"Aug 26, 2019","23,153.28","23,127.80","23,279.79","22,746.44","235.76M","1.46%"
"Aug 23, 2019","22,820.98","22,594.36","22,897.63","22,302.44","772.45M","0.96%"
"Aug 22, 2019","22,603.41","22,635.90","22,681.59","22,383.74","193.55M","-0.11%"
"Aug 21, 2019","22,627.50","22,927.08","23,073.61","22,563.82","274.66M","-1.75%"
"Aug 20, 2019","23,030.81","23,039.58","23,069.91","22,744.75","727.81M","0.36%"
"Aug 19, 2019","22,948.78","22,980.77","23,024.07","22,700.64","175.26M","1.57%"
"Aug 16, 2019","22,593.13","22,676.38","22,728.11","22,456.21","204.54M","-0.60%"
"Aug 14, 2019","22,729.38","22,532.78","22,803.24","22,436.59","201.20M","0.78%"
"Aug 13, 2019","22,552.61","22,663.89","22,868.46","22,491.18","177.25M","-0.70%"
"Aug 09, 2019","22,711.46","22,448.61","22,809.57","22,414.59","270.90M","1.39%"
"Aug 08, 2019","22,399.01","22,344.01","22,520.99","21,945.02","212.15M","0.66%"
"Aug 07, 2019","22,252.54","22,218.19","22,386.22","21,994.54","777.63M","-0.58%"
"Aug 06, 2019","22,381.92","22,111.61","22,672.04","22,002.93","721.40M","1.36%"
"Aug 05, 2019","22,080.56","22,587.80","22,587.80","21,931.71","307.51M","-2.16%"
