Date,Price,Open,High,Low,Volume,Chg%
"Jun 21, 2018","7,969.60","7,934.68","8,019.98","7,919.57",0,0.44%
"Jun 20, 2018","7,934.68","7,878.96","7,981.08","7,878.96",0,0.71%
"Jun 19, 2018","7,878.96","7,869.69","7,921.58","7,790.71",0,0.12%
"Jun 18, 2018","7,869.69","7,942.96","7,954.13","7,847.77",0,-0.92%
"Jun 15, 2018","7,942.96","8,062.29","8,096.70","7,940.22",0,-1.48%
"Jun 14, 2018","8,062.29","8,012.93","8,088.26","7,963.24",0,0.62%
"Jun 13, 2018","8,012.93","8,011.84","8,096.15","7,958.19",0,0.01%
"Jun 12, 2018","8,011.84","7,989.25","8,024.07","7,956.85",0,0.28%
"Jun 11, 2018","7,989.25","7,935.93","8,039.05","7,905.65",0,0.67%
"Jun 08, 2018","7,935.93","7,967.64","7,981.12","7,850.99",0,-0.40%
"Jun 07, 2018","7,967.64","8,029.71","8,106.25","7,960.47",0,-0.77%
"Jun 06, 2018","8,029.71","8,004.98","8,052.63","7,995.60",0,0.31%
"Jun 05, 2018","8,004.98","8,043.23","8,080.70","8,004.98",0,-0.48%
"Jun 04, 2018","8,043.23","7,998.27","8,081.62","7,998.27",0,0.56%
"Jun 01, 2018","7,998.27","8,112.42","8,164.51","7,990.54",0,-1.41%
"May 31, 2018","8,112.42","8,136.29","8,199.68","8,088.83",0,-0.29%
"May 30, 2018","8,136.29","8,043.17","8,136.29","8,038.59",0,1.16%
"May 29, 2018","8,043.17","8,169.84","8,169.84","8,041.78",0,-1.55%
"May 25, 2018","8,169.84","8,088.36","8,225.30","8,088.36",0,1.01%
"May 24, 2018","8,088.36","8,098.06","8,143.50","8,067.89",0,-0.12%
"May 23, 2018","8,098.06","8,111.63","8,143.25","8,061.96",0,-0.17%
"May 22, 2018","8,111.63","8,137.29","8,142.81","8,068.61",0,-0.32%
"May 21, 2018","8,137.29","8,101.48","8,169.07","8,097.89",0,0.44%
"May 18, 2018","8,101.48","8,116.98","8,127.82","8,067.19",0,-0.19%
"May 17, 2018","8,116.98","8,055.06","8,127.56","8,021.39",0,0.77%
"May 16, 2018","8,055.06","8,028.26","8,069.54","7,993.91",0,0.33%
"May 15, 2018","8,028.26","8,094.37","8,115.31","8,027.69",0,-0.82%
"May 14, 2018","8,094.37","8,007.89","8,103.71","8,007.89",0,1.08%
"May 11, 2018","8,007.89","8,072.02","8,093.87","8,007.89",0,-0.79%
"May 10, 2018","8,072.02","8,044.37","8,080.08","8,001.36",0,0.34%
"May 09, 2018","8,044.37","8,040.86","8,049.71","7,972.33",0,0.04%
"May 08, 2018","8,040.86","7,995.91","8,046.51","7,968.93",0,0.56%
"May 04, 2018","7,995.91","7,975.83","8,047.14","7,965.08",0,0.25%
"May 03, 2018","7,975.83","8,323.43","8,330.14","7,929.92",0,-4.18%
"May 02, 2018","8,323.43","8,270.97","8,336.72","8,233.86",0,0.63%
"May 01, 2018","8,270.97","8,217.51","8,312.59","8,171.14",0,0.65%
"Apr 30, 2018","8,217.51","8,220.62","8,257.97","8,202.52",0,-0.04%
"Apr 27, 2018","8,220.62","8,149.36","8,238.48","8,148.04",0,0.87%
