date,Durable good,overlap,consumer,goods,company,Industry,fast moving consumer goods,loan,Sales,Product,Market
2017-05-26,0.0,,44.0,18.0,54.0,33.0,42.0,60.0,61.0,78.0,60.0
2017-05-27,0.0,,26.0,18.0,46.0,28.0,0.0,50.0,54.0,52.0,70.0
2017-05-28,0.0,,25.0,12.0,41.0,22.0,0.0,47.0,45.0,48.0,52.0
2017-05-29,0.0,,34.0,22.0,54.0,38.0,0.0,72.0,78.0,62.0,59.0
2017-05-30,0.0,1.0,37.0,21.0,51.0,30.0,0.0,61.0,49.0,68.0,55.0
2017-05-31,0.0,1.0,43.0,29.0,51.0,33.0,0.0,67.0,62.0,72.0,53.0
2017-06-01,0.0,1.0,43.0,21.0,52.0,32.0,0.0,64.0,62.0,69.0,56.0
2017-06-02,0.0,1.0,40.0,26.0,54.0,31.0,20.0,65.0,54.0,69.0,52.0
2017-06-03,0.0,1.0,23.0,20.0,42.0,25.0,0.0,59.0,55.0,59.0,43.0
2017-06-04,0.0,1.0,21.0,20.0,35.0,20.0,22.0,47.0,34.0,53.0,46.0
2017-06-05,0.0,1.0,36.0,27.0,55.0,32.0,21.0,77.0,68.0,70.0,55.0
2017-06-06,0.0,1.0,43.0,28.0,55.0,31.0,0.0,79.0,80.0,78.0,54.0
2017-06-07,0.0,1.0,41.0,22.0,56.0,35.0,0.0,81.0,66.0,71.0,58.0
2017-06-08,0.0,1.0,35.0,22.0,51.0,32.0,20.0,63.0,61.0,73.0,54.0
2017-06-09,0.0,1.0,31.0,30.0,47.0,30.0,0.0,63.0,57.0,70.0,48.0
2017-06-10,0.0,1.0,21.0,24.0,43.0,22.0,0.0,56.0,52.0,65.0,43.0
2017-06-11,0.0,1.0,27.0,20.0,41.0,23.0,0.0,52.0,42.0,62.0,48.0
2017-06-12,0.0,1.0,41.0,33.0,54.0,35.0,0.0,74.0,76.0,77.0,54.0
2017-06-13,0.0,1.0,43.0,35.0,58.0,34.0,0.0,68.0,69.0,71.0,59.0
2017-06-14,0.0,1.0,39.0,31.0,56.0,33.0,0.0,68.0,70.0,66.0,59.0
2017-06-15,0.0,1.0,35.0,31.0,55.0,35.0,0.0,62.0,72.0,67.0,54.0
2017-06-16,0.0,1.0,35.0,34.0,55.0,32.0,0.0,61.0,73.0,61.0,58.0
2017-06-17,48.0,1.0,21.0,28.0,46.0,21.0,0.0,67.0,53.0,53.0,50.0
2017-06-18,0.0,1.0,16.0,13.0,37.0,20.0,0.0,40.0,51.0,51.0,45.0
2017-06-19,0.0,1.0,50.0,25.0,55.0,38.0,0.0,74.0,88.0,69.0,63.0
2017-06-20,0.0,1.0,39.0,36.0,58.0,37.0,0.0,76.0,80.0,75.0,61.0
2017-06-21,0.0,1.0,39.0,35.0,59.0,31.0,37.0,72.0,73.0,75.0,65.0
2017-06-22,0.0,1.0,44.0,38.0,57.0,33.0,18.0,72.0,68.0,63.0,56.0
2017-06-23,0.0,1.0,45.0,32.0,52.0,33.0,0.0,62.0,66.0,75.0,56.0
2017-06-24,0.0,1.0,25.0,39.0,41.0,22.0,0.0,55.0,64.0,64.0,43.0
2017-06-25,0.0,1.0,14.0,28.0,37.0,20.0,0.0,45.0,47.0,59.0,47.0
2017-06-26,0.0,1.0,21.0,37.0,49.0,29.0,20.0,55.0,82.0,64.0,51.0
2017-06-27,0.0,1.0,44.0,47.0,55.0,30.0,0.0,68.0,63.0,75.0,58.0
2017-06-28,0.0,1.0,40.0,48.0,58.0,31.0,0.0,71.0,72.0,77.0,66.0
2017-06-29,0.0,1.0,42.0,57.0,52.0,35.0,0.0,69.0,94.0,75.0,65.0
2017-06-30,0.0,1.0,34.0,74.0,52.0,33.0,0.0,53.0,100.0,79.0,56.0
2017-07-01,0.0,1.0,31.0,100.0,46.0,27.0,0.0,62.0,70.0,63.0,47.0
2017-07-02,0.0,1.0,32.0,47.0,42.0,23.0,0.0,46.0,51.0,63.0,49.0
2017-07-03,0.0,1.0,33.0,59.0,55.0,30.0,0.0,74.0,80.0,69.0,63.0
2017-07-04,46.0,1.0,44.0,58.0,63.0,37.0,0.0,70.0,78.0,75.0,60.0
2017-07-05,0.0,1.0,36.0,46.0,57.0,34.0,0.0,70.0,64.0,65.0,65.0
2017-07-06,0.0,1.0,35.0,47.0,58.0,38.0,0.0,64.0,73.0,82.0,65.0
2017-07-07,0.0,1.0,41.0,42.0,62.0,42.0,0.0,67.0,65.0,73.0,62.0
2017-07-08,0.0,1.0,25.0,44.0,53.0,33.0,0.0,52.0,52.0,67.0,52.0
2017-07-09,0.0,1.0,26.0,27.0,44.0,26.0,0.0,43.0,38.0,67.0,46.0
2017-07-10,0.0,1.0,33.0,48.0,60.0,34.0,0.0,72.0,66.0,73.0,78.0
2017-07-11,0.0,1.0,45.0,46.0,64.0,35.0,0.0,69.0,64.0,73.0,66.0
2017-07-12,0.0,1.0,50.0,33.0,62.0,31.0,20.0,68.0,62.0,78.0,58.0
2017-07-13,0.0,1.0,46.0,38.0,60.0,37.0,0.0,69.0,66.0,74.0,62.0
2017-07-14,0.0,1.0,36.0,36.0,58.0,35.0,0.0,70.0,67.0,79.0,70.0
2017-07-15,0.0,1.0,28.0,28.0,54.0,26.0,0.0,61.0,56.0,63.0,52.0
2017-07-16,0.0,1.0,32.0,29.0,49.0,24.0,0.0,49.0,41.0,71.0,56.0
2017-07-17,0.0,1.0,38.0,32.0,65.0,34.0,0.0,83.0,72.0,76.0,62.0
2017-07-18,44.0,1.0,39.0,40.0,63.0,27.0,0.0,67.0,57.0,80.0,63.0
2017-07-19,0.0,1.0,40.0,39.0,59.0,37.0,0.0,71.0,64.0,81.0,64.0
2017-07-20,0.0,1.0,44.0,41.0,62.0,32.0,0.0,67.0,64.0,81.0,59.0
2017-07-21,45.0,1.0,36.0,31.0,63.0,35.0,0.0,64.0,66.0,68.0,65.0
2017-07-22,0.0,1.0,28.0,26.0,56.0,31.0,0.0,56.0,49.0,57.0,56.0
2017-07-23,0.0,1.0,27.0,26.0,45.0,26.0,0.0,44.0,38.0,53.0,50.0
2017-07-24,0.0,1.0,44.0,29.0,62.0,30.0,0.0,71.0,57.0,81.0,62.0
2017-07-25,0.0,1.0,46.0,41.0,62.0,35.0,0.0,71.0,60.0,78.0,63.0
2017-07-26,0.0,1.0,36.0,31.0,62.0,34.0,0.0,69.0,52.0,71.0,67.0
2017-07-27,0.0,1.0,40.0,30.0,62.0,36.0,0.0,70.0,67.0,87.0,62.0
2017-07-28,0.0,1.0,32.0,32.0,60.0,30.0,0.0,68.0,63.0,70.0,62.0
2017-07-29,0.0,1.0,30.0,21.0,53.0,27.0,0.0,62.0,61.0,72.0,55.0
2017-07-30,0.0,1.0,25.0,25.0,50.0,28.0,22.0,54.0,42.0,64.0,56.0
2017-07-31,0.0,1.0,45.0,30.0,61.0,34.0,0.0,81.0,64.0,74.0,63.0
2017-08-01,0.0,1.0,50.0,28.0,62.0,34.0,19.0,73.0,65.0,82.0,65.0
2017-08-02,0.0,1.0,47.0,32.0,65.0,32.0,0.0,83.0,66.0,75.0,68.0
2017-08-03,0.0,1.0,46.0,32.0,70.0,40.0,0.0,81.0,61.0,71.0,66.0
2017-08-04,0.0,1.0,39.0,32.0,58.0,38.0,19.0,77.0,58.0,83.0,70.0
2017-08-05,0.0,1.0,29.0,24.0,51.0,23.0,0.0,67.0,52.0,59.0,50.0
2017-08-06,0.0,1.0,24.0,18.0,40.0,24.0,0.0,49.0,36.0,49.0,51.0
2017-08-07,46.0,1.0,37.0,26.0,54.0,28.0,0.0,73.0,52.0,62.0,60.0
2017-08-08,0.0,1.0,43.0,30.0,65.0,33.0,19.0,77.0,63.0,87.0,67.0
2017-08-09,0.0,1.0,44.0,35.0,62.0,35.0,0.0,73.0,68.0,75.0,69.0
2017-08-10,0.0,1.0,45.0,32.0,61.0,34.0,0.0,72.0,71.0,75.0,71.0
2017-08-11,0.0,1.0,43.0,30.0,61.0,30.0,0.0,63.0,64.0,91.0,70.0
2017-08-12,46.0,1.0,26.0,24.0,49.0,18.0,0.0,52.0,52.0,65.0,53.0
2017-08-13,0.0,1.0,23.0,24.0,45.0,20.0,0.0,55.0,41.0,66.0,54.0
2017-08-14,0.0,1.0,31.0,32.0,56.0,26.0,0.0,57.0,53.0,69.0,60.0
2017-08-15,0.0,1.0,22.0,26.0,41.0,24.0,0.0,51.0,46.0,65.0,54.0
2017-08-16,0.0,1.0,38.0,36.0,60.0,33.0,0.0,80.0,71.0,76.0,69.0
2017-08-17,0.0,1.0,44.0,39.0,66.0,35.0,0.0,69.0,58.0,87.0,63.0
2017-08-18,0.0,1.0,38.0,33.0,63.0,33.0,0.0,73.0,61.0,65.0,66.0
2017-08-19,0.0,1.0,29.0,28.0,51.0,26.0,0.0,66.0,54.0,70.0,57.0
2017-08-20,46.0,1.0,24.0,22.0,52.0,26.0,0.0,47.0,41.0,64.0,51.0
2017-08-21,0.0,1.0,42.0,37.0,62.0,35.0,0.0,81.0,66.0,89.0,65.0
2017-08-22,0.0,1.0,50.0,30.0,68.0,31.0,19.0,63.0,69.0,97.0,68.0
2017-08-23,0.0,1.0,41.0,36.0,62.0,36.0,0.0,73.0,57.0,85.0,71.0
2017-08-24,92.0,1.0,40.0,32.0,62.0,34.0,20.0,64.0,63.0,69.0,65.0
2017-08-25,0.0,1.0,33.0,28.0,51.0,28.0,0.0,52.0,50.0,67.0,67.0
2017-08-26,0.0,1.0,32.0,28.0,56.0,27.0,0.0,63.0,54.0,79.0,56.0
2017-08-27,0.0,1.0,29.0,19.0,48.0,32.0,0.0,49.0,38.0,74.0,56.0
2017-08-28,0.0,1.0,49.0,35.0,60.0,36.0,43.0,77.0,58.0,94.0,63.0
2017-08-29,0.0,1.0,53.0,35.0,61.0,34.0,0.0,80.0,68.0,91.0,68.0
2017-08-30,97.0,1.0,51.0,40.0,63.0,36.0,22.0,72.0,62.0,91.0,66.0
2017-08-31,0.0,1.0,50.0,28.0,61.0,39.0,0.0,75.0,59.0,86.0,64.0
2017-09-01,0.0,1.0,47.0,23.0,59.0,33.0,0.0,76.0,66.0,82.0,71.0
2017-09-02,0.0,1.0,23.0,18.0,53.0,29.0,0.0,61.0,60.0,70.0,62.0
2017-09-03,0.0,1.0,26.0,26.0,47.0,27.0,0.0,48.0,50.0,66.0,55.0
2017-09-04,0.0,1.0,52.0,28.0,63.0,36.0,0.0,82.0,62.0,84.0,78.0
2017-09-05,0.0,1.0,54.0,30.0,59.0,39.0,0.0,76.0,62.0,84.0,71.0
2017-09-06,0.0,1.0,61.0,33.0,63.0,37.0,0.0,79.0,67.0,86.0,74.0
2017-09-07,0.0,1.0,62.0,35.0,67.0,41.0,0.0,86.0,63.0,82.0,79.0
2017-09-08,0.0,,63.0,29.0,67.0,34.0,0.0,71.0,66.0,80.0,73.0
2017-09-09,0.0,,34.0,27.0,57.0,27.0,0.0,67.0,54.0,68.0,54.0
2017-09-10,0.0,,41.0,20.0,52.0,39.0,46.0,73.0,46.0,67.0,57.0
2017-09-11,0.0,,84.0,26.0,68.0,37.0,0.0,95.0,69.0,89.0,75.0
2017-09-12,0.0,,64.0,44.0,65.0,47.0,0.0,93.0,67.0,84.0,77.0
2017-09-13,0.0,,51.0,37.0,68.0,45.0,0.0,89.0,66.0,75.0,86.0
2017-09-14,0.0,,50.0,34.0,92.0,38.0,0.0,91.0,65.0,89.0,82.0
2017-09-15,0.0,,52.0,29.0,68.0,36.0,0.0,82.0,50.0,86.0,73.0
