"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 15, 2019","13,012.26","12,995.48","13,072.16","12,945.97","3.23M","0.69%"
"Jul 12, 2019","12,923.39","12,891.74","12,965.78","12,846.54","2.12M","0.50%"
"Jul 11, 2019","12,859.49","12,800.19","12,909.90","12,790.80","1.94M","0.82%"
"Jul 10, 2019","12,755.39","12,802.79","12,819.59","12,722.61","1.90M","-0.20%"
"Jul 09, 2019","12,781.06","12,596.19","12,833.09","12,553.91","3.24M","1.81%"
"Jul 08, 2019","12,554.00","12,696.81","12,696.81","12,533.78","2.25M","-1.30%"
"Jul 05, 2019","12,719.23","12,906.91","12,933.43","12,703.43","4.83M","-1.31%"
"Jul 04, 2019","12,888.37","12,980.17","12,999.38","12,871.29","1.38M","-0.37%"
"Jul 03, 2019","12,936.35","12,976.31","12,976.31","12,880.51","1.95M","-0.09%"
"Jul 02, 2019","12,947.87","13,051.63","13,063.47","12,900.83","1.58M","-0.63%"
"Jul 01, 2019","13,029.99","12,902.15","13,046.89","12,902.15","1.67M","1.09%"
"Jun 28, 2019","12,889.34","12,917.44","13,024.31","12,845.53","2.27M","0.06%"
"Jun 27, 2019","12,882.06","12,881.61","12,956.41","12,813.43","3.33M","0.10%"
"Jun 26, 2019","12,869.50","12,723.05","12,901.04","12,709.94","2.75M","1.06%"
"Jun 25, 2019","12,734.19","12,716.66","12,750.80","12,625.73","2.00M","0.31%"
"Jun 24, 2019","12,694.94","12,703.31","12,723.15","12,641.58","2.01M","0.06%"
"Jun 21, 2019","12,687.91","12,797.30","12,807.63","12,654.74","2.81M","-0.84%"
"Jun 20, 2019","12,795.83","12,487.02","12,809.55","12,448.23","3.89M","2.27%"
"Jun 19, 2019","12,511.23","12,688.66","12,729.05","12,461.51","3.33M","-1.29%"
"Jun 18, 2019","12,674.68","12,736.36","12,806.11","12,634.71","2.29M","-0.55%"
"Jun 17, 2019","12,745.06","12,921.91","12,951.29","12,719.05","4.49M","-1.19%"
"Jun 14, 2019","12,899.08","13,014.44","13,014.93","12,790.64","2.97M","-0.84%"
"Jun 13, 2019","13,007.76","13,043.77","13,059.26","12,896.29","1.68M","-0.28%"
"Jun 12, 2019","13,044.91","13,174.82","13,174.82","13,017.64","2.12M","-0.63%"
"Jun 11, 2019","13,128.12","13,080.41","13,172.02","12,976.45","3.08M","0.29%"
"Jun 10, 2019","13,090.75","13,100.68","13,126.83","13,013.59","2.98M","0.40%"
"Jun 07, 2019","13,038.91","13,110.74","13,113.92","12,889.63","2.42M","-0.53%"
"Jun 06, 2019","13,108.01","13,320.40","13,325.03","13,086.71","3.06M","-1.39%"
"Jun 04, 2019","13,292.63","13,426.91","13,508.13","13,238.17","2.49M","-0.99%"
"Jun 03, 2019","13,425.53","13,300.93","13,441.69","13,221.39","2.91M","0.91%"
"May 31, 2019","13,305.06","13,356.20","13,418.74","13,255.76","4.17M","-0.16%"
"May 30, 2019","13,326.44","13,353.36","13,392.10","13,299.15","4.00M","0.10%"
"May 29, 2019","13,312.60","13,401.27","13,417.84","13,268.26","5.97M","-0.44%"
"May 28, 2019","13,371.02","13,372.08","13,444.32","13,327.72","3.20M","0.08%"
"May 27, 2019","13,360.59","13,384.15","13,455.35","13,323.24","4.57M","-0.26%"
"May 24, 2019","13,395.55","13,288.44","13,410.64","13,271.01","2.73M","1.21%"
"May 23, 2019","13,235.84","13,375.26","13,432.87","13,213.37","3.93M","-0.41%"
"May 22, 2019","13,290.30","13,280.91","13,364.90","13,160.46","3.16M","0.23%"
"May 21, 2019","13,260.26","13,361.57","13,587.00","13,239.33","4.69M","-0.61%"
"May 20, 2019","13,341.14","13,385.07","13,449.91","13,208.44","3.07M","1.06%"
"May 17, 2019","13,201.18","13,328.30","13,328.30","13,137.42","4.09M","-0.99%"
"May 16, 2019","13,333.76","13,362.47","13,362.47","13,028.70","5.17M","-0.13%"
"May 15, 2019","13,350.68","13,466.49","13,551.41","13,321.97","3.39M","-0.76%"
"May 14, 2019","13,452.29","13,321.91","13,552.53","13,253.97","3.31M","1.07%"
"May 13, 2019","13,310.47","13,794.63","13,800.75","13,014.35","5.02M","-3.53%"
