"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 10, 2019","16,019.24","15,776.17","16,032.54","15,776.17","2.99M","1.78%"
"Jun 07, 2019","15,738.57","15,700.72","15,799.77","15,623.62","3.99M","0.39%"
"Jun 06, 2019","15,678.05","15,761.27","15,802.66","15,653.56","4.47M","-0.24%"
"Jun 04, 2019","15,715.38","15,929.53","15,929.53","15,689.43","6.32M","-1.63%"
"Jun 03, 2019","15,975.31","15,800.14","16,023.36","15,700.58","20.04M","1.23%"
"May 31, 2019","15,781.62","15,644.33","15,810.56","15,640.77","8.13M","1.19%"
"May 30, 2019","15,595.50","15,499.94","15,651.30","15,465.66","5.24M","0.93%"
"May 29, 2019","15,451.98","15,353.63","15,557.69","15,340.12","4.46M","0.60%"
"May 28, 2019","15,360.03","15,151.25","15,399.22","15,119.85","5.58M","1.64%"
"May 27, 2019","15,111.84","15,149.74","15,187.08","15,085.52","5.23M","-0.07%"
"May 24, 2019","15,122.46","15,137.18","15,164.37","15,015.67","4.53M","0.34%"
"May 23, 2019","15,070.59","15,338.77","15,376.46","15,036.59","4.18M","-0.89%"
"May 22, 2019","15,206.00","15,312.25","15,386.19","15,184.32","3.65M","-0.61%"
"May 21, 2019","15,299.89","15,546.52","15,556.32","15,268.01","2.96M","-1.39%"
"May 20, 2019","15,515.99","15,528.52","15,565.82","15,174.49","5.02M","0.69%"
"May 17, 2019","15,409.12","15,566.70","15,585.30","15,367.67","3.08M","-0.84%"
"May 16, 2019","15,539.02","15,352.46","15,588.16","15,352.46","3.62M","1.25%"
"May 15, 2019","15,347.13","15,394.98","15,475.41","15,310.72","4.61M","0.12%"
"May 14, 2019","15,328.45","15,533.48","15,533.80","15,196.20","4.12M","-1.23%"
"May 13, 2019","15,519.26","15,530.87","15,663.48","15,468.32","3.91M","0.11%"
"May 10, 2019","15,502.46","15,696.93","15,702.41","15,457.73","4.19M","-1.13%"
"May 09, 2019","15,679.63","15,622.56","15,746.82","15,559.94","3.31M","0.43%"
"May 08, 2019","15,612.88","15,702.63","15,706.15","15,572.04","4.65M","-0.44%"
"May 07, 2019","15,682.35","15,678.05","15,790.33","15,665.22","4.86M","0.19%"
"May 06, 2019","15,652.96","15,557.80","15,702.79","15,479.98","6.05M","-0.04%"
