Date,Open,High,Low,Close,Adj Close,Volume,Google
4/23/2018,41.7075,41.73,40.157501,40.580002,39.026573,648833600,29
4/30/2018,40.532501,46.0625,40.459999,45.9575,44.198227,1011222800,30
5/7/2018,46.294998,47.592499,45.9175,47.147499,45.34267,593067600,29
5/14/2018,47.252499,47.3825,46.275002,46.577499,44.967224,396995200,29
5/21/2018,47,47.412498,46.439999,47.145,45.515106,377579600,28
5/28/2018,46.900002,47.564999,46.535,47.560001,45.915749,368519600,29
6/4/2018,47.91,48.549999,47.442501,47.924999,46.268139,467079200,32
6/11/2018,47.837502,48.220001,47.064999,47.209999,45.577854,560749200,29
6/18/2018,46.970001,47.305,45.862499,46.23,44.631741,502417600,30
6/25/2018,45.849998,46.82,45.182499,46.2775,44.677593,486482000,28
7/2/2018,45.955002,47.107498,45.855,46.9925,45.367878,263102000,27
7/9/2018,47.375,47.959999,46.9025,47.8325,46.178837,340328800,29
7/16/2018,47.880001,48.162498,47.299999,47.860001,46.205391,351736000,30
7/23/2018,47.669998,48.990002,47.389999,47.744999,46.094357,377988800,30
7/30/2018,47.974998,52.185001,47.267502,51.997501,50.199844,896758400,33
8/6/2018,52,52.445,51.130001,51.8825,50.088818,486568400,31
8/13/2018,52.327499,54.487499,51.924999,54.395,52.698631,557495600,31
8/20/2018,54.525002,54.794998,53.459999,54.040001,52.354702,451300800,29
8/27/2018,54.287498,57.217499,54.0825,56.907501,55.132774,650762400,31
9/3/2018,57.102501,57.4175,55.177502,55.325001,53.599621,530531600,30
9/10/2018,55.237499,57.087502,54.1175,55.959999,54.214821,792999600,58
9/17/2018,55.537498,55.737499,53.825001,54.415001,52.71801,874984400,41
9/24/2018,54.205002,56.610001,54.157501,56.435001,54.675011,517372400,39
10/1/2018,56.987499,58.3675,55.145,56.072498,54.323814,570665200,34
10/8/2018,55.552502,56.817501,53.080002,55.5275,53.795811,768031200,34
10/15/2018,55.290001,55.747501,53.25,54.827499,53.117641,594081600,33
10/22/2018,54.947498,56.057499,53.1675,54.075001,52.388611,742398400,33
10/29/2018,54.797501,55.59,51.357498,51.869999,50.252373,1082425200,38
11/5/2018,51.075001,52.529999,49.5425,51.1175,49.523346,764797600,35
11/12/2018,49.75,49.962502,46.482498,48.3825,47.037186,968906000,36
11/19/2018,47.5,47.674999,43.025002,43.072498,41.874836,657994800,45
11/26/2018,43.560001,45.700001,42.564999,44.645,43.403614,854999600,39
12/3/2018,46.115002,46.235001,42.075001,42.122501,40.951256,670107200,37
12/10/2018,41.25,43.142502,40.8325,41.369999,40.219673,870150800,39
