date,AAPL,overlap,MSFT,NVDA,V,MA,AVGO,CSCO,ACN,CRM,ADBE
2017-05-30,12.0,1.0,13.0,24.0,60.0,67.0,14.0,18.0,48.0,75.0,5.0
2017-05-31,12.0,1.0,12.0,18.0,62.0,69.0,19.0,23.0,56.0,74.0,10.0
2017-06-01,13.0,1.0,9.0,22.0,62.0,69.0,60.0,25.0,37.0,80.0,14.0
2017-06-02,16.0,1.0,17.0,22.0,63.0,70.0,62.0,20.0,43.0,66.0,7.0
2017-06-03,5.0,1.0,5.0,6.0,67.0,71.0,8.0,9.0,43.0,27.0,4.0
2017-06-04,1.0,1.0,2.0,0.0,75.0,69.0,19.0,2.0,37.0,30.0,6.0
2017-06-05,21.0,1.0,15.0,19.0,64.0,68.0,12.0,14.0,36.0,72.0,5.0
2017-06-06,19.0,1.0,13.0,26.0,63.0,70.0,13.0,15.0,56.0,76.0,15.0
2017-06-07,14.0,1.0,10.0,17.0,65.0,67.0,6.0,18.0,45.0,77.0,9.0
2017-06-08,13.0,1.0,23.0,42.0,66.0,65.0,14.0,16.0,43.0,76.0,3.0
2017-06-09,18.0,1.0,15.0,59.0,65.0,67.0,12.0,24.0,42.0,62.0,5.0
2017-06-10,5.0,1.0,5.0,15.0,84.0,68.0,3.0,11.0,30.0,33.0,0.0
2017-06-11,4.0,1.0,4.0,5.0,75.0,66.0,2.0,9.0,27.0,31.0,10.0
2017-06-12,24.0,1.0,20.0,41.0,63.0,69.0,17.0,17.0,44.0,77.0,9.0
2017-06-13,22.0,1.0,14.0,36.0,68.0,67.0,16.0,21.0,50.0,82.0,14.0
2017-06-14,18.0,1.0,18.0,32.0,66.0,68.0,17.0,19.0,74.0,82.0,10.0
2017-06-15,15.0,1.0,12.0,30.0,67.0,67.0,5.0,19.0,70.0,74.0,7.0
2017-06-16,13.0,1.0,15.0,22.0,63.0,71.0,17.0,30.0,48.0,64.0,15.0
2017-06-17,5.0,1.0,4.0,8.0,70.0,68.0,5.0,6.0,30.0,33.0,6.0
2017-06-18,3.0,1.0,3.0,3.0,75.0,66.0,6.0,11.0,19.0,34.0,2.0
2017-06-19,15.0,1.0,14.0,25.0,62.0,71.0,27.0,26.0,45.0,78.0,10.0
2017-06-20,19.0,1.0,14.0,29.0,60.0,70.0,13.0,27.0,52.0,83.0,36.0
2017-06-21,12.0,1.0,15.0,24.0,61.0,69.0,17.0,18.0,45.0,76.0,45.0
2017-06-22,13.0,1.0,9.0,21.0,60.0,69.0,18.0,7.0,65.0,76.0,33.0
2017-06-23,12.0,1.0,9.0,23.0,63.0,72.0,14.0,16.0,58.0,67.0,16.0
2017-06-24,3.0,1.0,3.0,4.0,71.0,72.0,16.0,7.0,23.0,32.0,2.0
2017-06-25,3.0,1.0,2.0,2.0,70.0,69.0,3.0,6.0,58.0,32.0,4.0
2017-06-26,14.0,1.0,9.0,18.0,61.0,72.0,14.0,33.0,49.0,68.0,17.0
2017-06-27,15.0,1.0,9.0,23.0,63.0,73.0,16.0,21.0,63.0,79.0,18.0
2017-06-28,13.0,1.0,11.0,27.0,63.0,70.0,28.0,23.0,40.0,78.0,7.0
2017-06-29,12.0,1.0,13.0,22.0,61.0,72.0,12.0,18.0,50.0,73.0,9.0
2017-06-30,12.0,1.0,15.0,21.0,62.0,72.0,5.0,35.0,58.0,72.0,17.0
2017-07-01,3.0,1.0,1.0,6.0,71.0,70.0,11.0,6.0,29.0,29.0,0.0
2017-07-02,1.0,1.0,2.0,5.0,72.0,70.0,3.0,7.0,47.0,31.0,4.0
2017-07-03,12.0,1.0,14.0,18.0,63.0,67.0,24.0,31.0,51.0,62.0,4.0
2017-07-04,10.0,1.0,15.0,9.0,63.0,63.0,19.0,23.0,52.0,70.0,6.0
2017-07-05,11.0,1.0,16.0,23.0,59.0,72.0,14.0,29.0,63.0,76.0,15.0
2017-07-06,12.0,1.0,17.0,18.0,61.0,70.0,21.0,25.0,57.0,74.0,17.0
2017-07-07,13.0,1.0,15.0,17.0,62.0,73.0,19.0,13.0,55.0,70.0,8.0
2017-07-08,5.0,1.0,7.0,5.0,75.0,70.0,8.0,11.0,21.0,35.0,6.0
2017-07-09,1.0,1.0,4.0,4.0,68.0,68.0,0.0,11.0,52.0,33.0,4.0
2017-07-10,13.0,1.0,11.0,24.0,61.0,70.0,28.0,28.0,81.0,71.0,12.0
2017-07-11,9.0,1.0,14.0,28.0,61.0,70.0,10.0,22.0,54.0,78.0,11.0
2017-07-12,12.0,1.0,14.0,30.0,63.0,72.0,19.0,20.0,52.0,81.0,5.0
2017-07-13,13.0,1.0,11.0,31.0,63.0,71.0,10.0,21.0,45.0,73.0,4.0
2017-07-14,13.0,1.0,15.0,27.0,66.0,69.0,15.0,30.0,41.0,67.0,6.0
2017-07-15,2.0,1.0,4.0,6.0,69.0,68.0,2.0,8.0,48.0,32.0,4.0
2017-07-16,2.0,1.0,2.0,4.0,67.0,67.0,5.0,2.0,38.0,29.0,8.0
2017-07-17,14.0,1.0,13.0,25.0,61.0,69.0,16.0,14.0,66.0,74.0,14.0
2017-07-18,11.0,1.0,22.0,23.0,60.0,72.0,5.0,19.0,61.0,79.0,11.0
2017-07-19,15.0,1.0,23.0,27.0,64.0,70.0,13.0,16.0,78.0,76.0,5.0
2017-07-20,13.0,1.0,58.0,25.0,60.0,70.0,23.0,13.0,53.0,68.0,14.0
2017-07-21,13.0,1.0,49.0,21.0,61.0,72.0,12.0,12.0,55.0,65.0,4.0
2017-07-22,4.0,1.0,5.0,5.0,71.0,68.0,8.0,8.0,44.0,31.0,4.0
2017-07-23,3.0,1.0,3.0,4.0,69.0,68.0,0.0,2.0,52.0,31.0,6.0
2017-07-24,12.0,1.0,16.0,22.0,60.0,72.0,20.0,9.0,53.0,68.0,11.0
2017-07-25,14.0,1.0,16.0,23.0,60.0,68.0,10.0,17.0,36.0,81.0,9.0
2017-07-26,16.0,1.0,17.0,26.0,63.0,68.0,11.0,29.0,51.0,66.0,5.0
2017-07-27,16.0,1.0,20.0,25.0,63.0,69.0,9.0,12.0,53.0,79.0,9.0
2017-07-28,14.0,1.0,14.0,33.0,58.0,69.0,8.0,26.0,59.0,61.0,13.0
2017-07-29,4.0,1.0,8.0,5.0,73.0,68.0,3.0,4.0,51.0,25.0,6.0
2017-07-30,2.0,1.0,1.0,5.0,72.0,68.0,3.0,11.0,61.0,27.0,6.0
2017-07-31,15.0,1.0,10.0,22.0,61.0,70.0,7.0,17.0,52.0,68.0,7.0
2017-08-01,42.0,1.0,16.0,20.0,62.0,66.0,24.0,28.0,59.0,75.0,15.0
2017-08-02,55.0,1.0,17.0,21.0,63.0,69.0,15.0,12.0,58.0,75.0,2.0
2017-08-03,24.0,1.0,12.0,23.0,62.0,70.0,16.0,14.0,69.0,77.0,10.0
2017-08-04,15.0,1.0,9.0,21.0,62.0,70.0,16.0,27.0,49.0,66.0,7.0
2017-08-05,5.0,1.0,6.0,5.0,73.0,68.0,16.0,5.0,26.0,33.0,6.0
2017-08-06,3.0,1.0,2.0,3.0,73.0,64.0,0.0,2.0,31.0,30.0,2.0
2017-08-07,17.0,1.0,10.0,31.0,62.0,67.0,9.0,21.0,41.0,68.0,5.0
2017-08-08,21.0,1.0,12.0,30.0,63.0,69.0,17.0,21.0,45.0,66.0,8.0
2017-08-09,16.0,1.0,14.0,32.0,62.0,67.0,13.0,29.0,59.0,64.0,11.0
2017-08-10,15.0,1.0,13.0,77.0,61.0,68.0,18.0,27.0,53.0,71.0,7.0
2017-08-11,20.0,1.0,18.0,79.0,63.0,67.0,17.0,13.0,53.0,69.0,7.0
2017-08-12,4.0,1.0,5.0,10.0,72.0,67.0,20.0,2.0,25.0,33.0,0.0
2017-08-13,3.0,1.0,6.0,6.0,70.0,65.0,0.0,5.0,40.0,31.0,4.0
2017-08-14,16.0,1.0,12.0,37.0,62.0,69.0,26.0,18.0,49.0,61.0,10.0
