date,BRK.B,overlap,JPM,BAC,WFC,MS,BLK,GS,SCHW,C,SPGI
2017-09-20,16.0,,17.0,7.0,36.0,77.0,58.0,17.0,28.0,90.0,23.0
2017-09-21,32.0,,28.0,6.0,14.0,75.0,69.0,15.0,28.0,90.0,23.0
2017-09-22,6.0,,15.0,6.0,9.0,73.0,56.0,15.0,29.0,87.0,0.0
2017-09-23,6.0,,8.0,6.0,8.0,63.0,77.0,18.0,0.0,82.0,0.0
2017-09-24,12.0,,6.0,6.0,15.0,59.0,49.0,30.0,47.0,88.0,0.0
2017-09-25,10.0,,21.0,6.0,29.0,77.0,66.0,18.0,13.0,91.0,44.0
2017-09-26,16.0,,26.0,7.0,9.0,74.0,67.0,17.0,0.0,90.0,0.0
2017-09-27,26.0,,31.0,7.0,11.0,75.0,71.0,16.0,28.0,88.0,45.0
2017-09-28,22.0,,23.0,7.0,30.0,74.0,59.0,16.0,14.0,84.0,23.0
2017-09-29,0.0,,15.0,7.0,24.0,73.0,58.0,16.0,44.0,84.0,0.0
2017-09-30,6.0,,3.0,6.0,5.0,63.0,61.0,29.0,16.0,81.0,0.0
2017-10-01,6.0,,7.0,6.0,8.0,60.0,52.0,20.0,15.0,80.0,0.0
2017-10-02,10.0,,19.0,6.0,20.0,73.0,65.0,15.0,28.0,89.0,0.0
2017-10-03,26.0,,38.0,6.0,20.0,75.0,53.0,17.0,13.0,89.0,67.0
2017-10-04,6.0,,27.0,6.0,16.0,77.0,60.0,16.0,41.0,93.0,44.0
2017-10-05,26.0,,29.0,7.0,34.0,77.0,77.0,15.0,69.0,88.0,0.0
2017-10-06,16.0,,22.0,6.0,16.0,74.0,65.0,15.0,29.0,85.0,46.0
2017-10-07,13.0,,9.0,6.0,13.0,68.0,63.0,15.0,48.0,82.0,52.0
2017-10-08,0.0,,5.0,6.0,21.0,69.0,64.0,15.0,15.0,86.0,0.0
2017-10-09,26.0,,24.0,7.0,25.0,79.0,54.0,15.0,0.0,89.0,0.0
2017-10-10,36.0,,24.0,7.0,22.0,76.0,54.0,15.0,13.0,87.0,65.0
2017-10-11,21.0,,21.0,7.0,25.0,71.0,60.0,15.0,0.0,91.0,44.0
2017-10-12,10.0,,47.0,7.0,27.0,70.0,58.0,15.0,28.0,91.0,23.0
2017-10-13,17.0,,30.0,7.0,30.0,74.0,71.0,15.0,14.0,86.0,0.0
2017-10-14,0.0,,18.0,7.0,18.0,64.0,66.0,24.0,16.0,81.0,26.0
2017-10-15,6.0,,3.0,6.0,28.0,61.0,58.0,17.0,0.0,81.0,0.0
2017-10-16,16.0,,28.0,7.0,16.0,77.0,56.0,15.0,13.0,86.0,22.0
2017-10-17,16.0,,20.0,7.0,31.0,76.0,80.0,17.0,28.0,89.0,0.0
2017-10-18,15.0,,18.0,7.0,18.0,74.0,60.0,17.0,27.0,88.0,0.0
2017-10-19,6.0,,24.0,7.0,32.0,70.0,54.0,18.0,14.0,84.0,23.0
2017-10-20,6.0,,24.0,7.0,26.0,74.0,83.0,17.0,59.0,86.0,23.0
2017-10-21,0.0,,16.0,6.0,13.0,63.0,36.0,21.0,32.0,79.0,26.0
