date,information technology,overlap,technology,information,computers,communication,MSCI,exchange-traded funds,artificial intelligence,information literacy,media communication
2017-05-14,46.0,,56.0,52.0,57.0,58.0,16.0,0.0,36.0,16.0,4.0
2017-05-15,72.0,,94.0,86.0,83.0,82.0,25.0,0.0,44.0,19.0,49.0
2017-05-16,59.0,,91.0,91.0,84.0,82.0,51.0,0.0,73.0,19.0,80.0
2017-05-17,65.0,,90.0,85.0,75.0,84.0,31.0,0.0,50.0,5.0,45.0
2017-05-18,65.0,,89.0,86.0,68.0,90.0,33.0,0.0,43.0,15.0,31.0
2017-05-19,74.0,,79.0,73.0,48.0,67.0,23.0,0.0,50.0,10.0,28.0
2017-05-20,29.0,,57.0,50.0,52.0,52.0,11.0,0.0,28.0,6.0,36.0
2017-05-21,40.0,,56.0,53.0,53.0,56.0,9.0,0.0,41.0,11.0,31.0
2017-05-22,75.0,,86.0,81.0,76.0,76.0,21.0,0.0,56.0,15.0,39.0
2017-05-23,71.0,,89.0,80.0,71.0,76.0,19.0,0.0,50.0,5.0,22.0
2017-05-24,70.0,,90.0,82.0,70.0,74.0,26.0,0.0,50.0,5.0,31.0
2017-05-25,56.0,,84.0,80.0,67.0,72.0,26.0,0.0,44.0,15.0,40.0
2017-05-26,50.0,,79.0,70.0,66.0,60.0,20.0,58.0,61.0,5.0,25.0
2017-05-27,43.0,,53.0,50.0,51.0,42.0,8.0,0.0,35.0,17.0,9.0
2017-05-28,46.0,,52.0,51.0,52.0,56.0,7.0,0.0,42.0,17.0,23.0
2017-05-29,71.0,,78.0,64.0,57.0,71.0,19.0,0.0,54.0,15.0,36.0
2017-05-30,52.0,1.0,82.0,77.0,71.0,72.0,22.0,0.0,41.0,10.0,37.0
2017-05-31,62.0,1.0,85.0,77.0,63.0,68.0,38.0,0.0,41.0,10.0,32.0
2017-06-01,54.0,1.0,86.0,74.0,54.0,69.0,17.0,0.0,40.0,13.0,32.0
2017-06-02,53.0,1.0,75.0,71.0,61.0,61.0,19.0,0.0,36.0,2.0,31.0
2017-06-03,49.0,1.0,57.0,55.0,51.0,45.0,7.0,0.0,24.0,9.0,13.0
2017-06-04,54.0,1.0,57.0,52.0,53.0,46.0,12.0,0.0,33.0,23.0,25.0
2017-06-05,69.0,1.0,89.0,75.0,68.0,71.0,19.0,0.0,45.0,49.0,29.0
2017-06-06,70.0,1.0,91.0,83.0,67.0,79.0,20.0,0.0,38.0,56.0,57.0
2017-06-07,60.0,1.0,84.0,77.0,76.0,75.0,25.0,0.0,45.0,52.0,48.0
2017-06-08,60.0,1.0,85.0,73.0,60.0,77.0,27.0,0.0,38.0,50.0,27.0
2017-06-09,49.0,1.0,75.0,69.0,55.0,64.0,18.0,0.0,34.0,26.0,35.0
2017-06-10,34.0,1.0,58.0,54.0,56.0,48.0,18.0,32.0,23.0,33.0,26.0
2017-06-11,46.0,1.0,54.0,54.0,47.0,52.0,9.0,0.0,39.0,24.0,38.0
2017-06-12,61.0,1.0,83.0,78.0,58.0,70.0,18.0,57.0,36.0,34.0,31.0
2017-06-13,61.0,1.0,89.0,79.0,71.0,74.0,21.0,26.0,36.0,61.0,28.0
2017-06-14,63.0,1.0,88.0,80.0,64.0,76.0,21.0,0.0,37.0,43.0,47.0
2017-06-15,60.0,1.0,84.0,80.0,65.0,76.0,29.0,0.0,36.0,24.0,73.0
2017-06-16,56.0,1.0,83.0,70.0,64.0,62.0,25.0,0.0,43.0,16.0,42.0
2017-06-17,47.0,1.0,58.0,54.0,57.0,47.0,8.0,0.0,29.0,36.0,28.0
2017-06-18,41.0,1.0,58.0,55.0,47.0,53.0,13.0,0.0,22.0,38.0,48.0
2017-06-19,64.0,1.0,91.0,78.0,75.0,73.0,33.0,0.0,41.0,53.0,32.0
2017-06-20,72.0,1.0,89.0,81.0,65.0,78.0,88.0,0.0,39.0,100.0,66.0
2017-06-21,61.0,1.0,89.0,79.0,70.0,81.0,100.0,0.0,39.0,45.0,38.0
2017-06-22,58.0,1.0,83.0,79.0,69.0,78.0,38.0,0.0,47.0,37.0,43.0
2017-06-23,56.0,1.0,82.0,70.0,61.0,58.0,21.0,0.0,31.0,36.0,22.0
2017-06-24,39.0,1.0,58.0,52.0,54.0,46.0,13.0,0.0,25.0,26.0,17.0
2017-06-25,42.0,1.0,53.0,52.0,49.0,46.0,6.0,0.0,41.0,27.0,25.0
2017-06-26,59.0,1.0,77.0,71.0,59.0,58.0,25.0,0.0,45.0,35.0,29.0
2017-06-27,59.0,1.0,83.0,75.0,74.0,74.0,28.0,0.0,42.0,37.0,43.0
2017-06-28,71.0,1.0,86.0,78.0,71.0,71.0,24.0,0.0,45.0,36.0,46.0
2017-06-29,50.0,1.0,80.0,75.0,67.0,68.0,17.0,0.0,33.0,40.0,39.0
2017-06-30,62.0,1.0,70.0,69.0,61.0,56.0,17.0,0.0,35.0,20.0,14.0
2017-07-01,38.0,1.0,54.0,57.0,55.0,46.0,8.0,0.0,28.0,39.0,47.0
2017-07-02,49.0,1.0,55.0,60.0,61.0,47.0,11.0,0.0,28.0,38.0,24.0
2017-07-03,63.0,1.0,76.0,69.0,60.0,60.0,18.0,0.0,44.0,40.0,34.0
2017-07-04,54.0,1.0,69.0,65.0,65.0,63.0,25.0,0.0,41.0,30.0,29.0
2017-07-05,62.0,1.0,87.0,74.0,69.0,71.0,32.0,0.0,40.0,37.0,26.0
2017-07-06,73.0,1.0,86.0,79.0,67.0,70.0,19.0,0.0,37.0,24.0,50.0
2017-07-07,55.0,1.0,74.0,70.0,63.0,56.0,18.0,0.0,33.0,22.0,40.0
2017-07-08,43.0,1.0,58.0,56.0,57.0,47.0,8.0,0.0,31.0,24.0,24.0
2017-07-09,47.0,1.0,60.0,61.0,54.0,51.0,7.0,0.0,33.0,12.0,21.0
2017-07-10,71.0,1.0,86.0,77.0,65.0,72.0,25.0,28.0,39.0,41.0,43.0
2017-07-11,56.0,1.0,87.0,80.0,64.0,71.0,19.0,0.0,39.0,46.0,33.0
2017-07-12,70.0,1.0,85.0,80.0,59.0,68.0,18.0,0.0,50.0,36.0,55.0
2017-07-13,74.0,1.0,84.0,74.0,62.0,69.0,18.0,0.0,48.0,32.0,21.0
2017-07-14,59.0,1.0,77.0,71.0,60.0,62.0,16.0,0.0,44.0,21.0,31.0
2017-07-15,43.0,1.0,58.0,57.0,59.0,45.0,7.0,0.0,27.0,8.0,24.0
2017-07-16,55.0,1.0,58.0,60.0,49.0,49.0,7.0,0.0,50.0,33.0,11.0
2017-07-17,60.0,1.0,83.0,75.0,61.0,68.0,19.0,0.0,44.0,20.0,37.0
