date,Apple,,apple,aapl,apple store,apple watch,apple iphone,iphone,apple music,aapl stock price,aapl stock,apple pay,apple macbook,apple support,apple watch series 3,apple 4 watch,airpods,semiconductor,TSMC,apple factory,apple earnings,aapl earnings
3/18/2017,22,,22,3,36,15,10,26,23,2,4,11,38,49,0,0,2,29,10,19,1,1
3/19/2017,23,,23,2,39,15,10,26,25,2,4,14,39,41,0,0,2,39,12,18,1,0
3/20/2017,21,,21,14,37,14,9,23,20,20,16,14,36,52,1,0,2,60,13,19,0,0
3/21/2017,27,,27,17,48,14,12,25,19,21,21,15,37,49,0,0,2,60,14,23,1,1
3/22/2017,25,,25,18,40,14,12,26,16,30,20,15,43,54,0,0,2,64,24,16,1,3
3/23/2017,23,,23,14,37,14,11,25,17,17,17,14,35,41,0,0,2,69,18,26,0,0
3/24/2017,24,,24,14,45,14,11,26,16,14,15,15,33,44,0,0,2,74,18,24,2,2
3/25/2017,24,,24,4,47,15,12,29,15,0,2,17,40,44,1,0,2,28,2,24,0,0
3/26/2017,24,,24,2,40,19,11,29,16,0,1,12,27,49,0,0,2,44,12,23,0,3
3/27/2017,23,,23,13,39,15,10,24,18,9,15,16,39,47,1,0,2,60,14,20,1,0
3/28/2017,23,,23,19,36,14,11,25,17,14,22,27,34,44,0,0,3,69,18,14,0,0
3/29/2017,24,,24,19,36,14,9,24,15,19,22,68,33,43,0,0,3,49,16,14,1,0
3/30/2017,24,,24,13,36,15,11,26,17,5,10,48,42,47,0,0,2,63,25,12,0,0
3/31/2017,22,,22,13,36,15,10,25,16,7,17,28,37,49,0,0,2,51,7,21,0,2
4/1/2017,23,,23,5,39,15,11,28,17,6,5,26,32,49,0,0,2,32,6,6,2,0
4/2/2017,23,,23,2,36,17,9,28,17,2,5,24,42,52,0,1,2,31,0,27,1,3
4/3/2017,22,,22,12,36,15,10,24,15,20,19,22,36,45,0,0,2,60,12,32,1,0
4/4/2017,21,,21,13,34,15,9,23,16,12,19,21,31,50,1,0,2,67,9,11,4,2
4/5/2017,22,,22,17,35,14,10,23,16,17,23,22,35,45,0,0,2,65,16,11,1,0
4/6/2017,22,,22,14,36,14,9,24,17,14,15,22,33,49,1,0,2,61,16,9,1,2
4/7/2017,21,,21,11,34,14,9,22,19,12,11,20,34,44,0,0,2,58,4,24,1,0
4/8/2017,22,,22,3,40,15,10,26,19,2,2,27,31,55,0,0,2,34,12,27,0,3
4/9/2017,22,,22,2,36,15,10,27,20,4,0,21,40,40,0,0,3,31,4,24,0,0
4/10/2017,22,,22,11,37,15,9,24,15,7,9,22,35,58,0,0,2,56,16,26,3,0
4/11/2017,21,,21,13,34,14,9,24,16,17,27,20,39,54,1,0,2,86,7,18,0,5
4/12/2017,21,,21,11,33,14,10,24,16,10,13,16,27,57,1,0,2,62,6,18,1,2
4/13/2017,22,,22,15,37,15,10,25,15,11,15,20,32,52,0,0,2,58,8,19,2,2
4/14/2017,23,,23,7,40,14,10,26,23,2,7,16,31,46,1,0,2,56,25,30,1,0
4/15/2017,24,,24,3,40,14,10,26,16,0,3,15,34,49,0,0,2,32,15,31,0,0
4/16/2017,22,,22,1,36,16,9,26,17,0,3,14,35,42,0,0,2,22,9,35,0,0
4/17/2017,22,,22,12,38,14,9,24,19,9,15,19,43,37,0,0,2,65,9,9,3,7
4/18/2017,22,,22,9,36,14,10,24,18,14,19,17,33,53,0,0,1,72,7,26,1,5
4/19/2017,21,,21,11,34,12,9,23,20,15,14,16,30,47,0,0,2,87,12,23,1,2
4/20/2017,21,,21,12,34,14,10,23,18,16,14,15,33,39,0,0,1,66,12,20,4,7
4/21/2017,21,,21,13,35,14,9,23,17,10,15,16,30,52,0,0,2,57,7,33,1,0
4/22/2017,22,,22,4,36,15,11,26,17,10,5,16,32,42,0,0,2,31,8,23,0,0
4/23/2017,21,,21,1,34,17,10,25,18,0,4,16,37,35,1,0,2,30,8,36,1,0
4/24/2017,21,,21,14,35,14,10,24,14,13,14,16,35,49,0,0,2,72,9,26,4,5
4/25/2017,21,,21,15,34,14,9,22,18,11,19,15,33,43,1,0,2,77,12,23,6,9
4/26/2017,22,,22,15,36,14,10,23,15,10,18,14,33,43,1,0,1,75,17,28,4,4
4/27/2017,21,,21,15,31,14,9,22,15,17,23,18,26,49,1,0,2,82,25,17,7,7
4/28/2017,21,,21,12,36,14,9,22,17,16,20,20,27,50,1,0,2,59,6,27,4,10
4/29/2017,22,,22,4,40,17,10,25,21,2,3,14,35,48,1,0,2,20,2,38,3,0
4/30/2017,22,,22,1,36,17,10,26,18,0,0,14,37,47,0,0,1,40,4,24,2,0
5/1/2017,23,,23,22,38,16,10,25,17,17,21,20,36,54,0,0,2,64,6,31,18,23
5/2/2017,22,,22,49,37,14,9,23,15,27,55,19,27,45,0,0,2,49,9,20,61,73
5/3/2017,22,,22,47,36,15,9,24,14,36,51,22,35,46,0,0,2,51,7,32,20,20
5/4/2017,21,,21,20,36,15,10,23,17,14,29,16,33,49,0,0,2,68,2,38,4,5
5/5/2017,21,,21,17,34,14,9,24,15,23,31,18,34,51,0,0,2,71,11,6,4,5
5/6/2017,22,,22,5,43,18,10,26,20,8,6,19,31,44,1,0,2,38,8,34,1,0
5/7/2017,22,,22,4,38,19,10,26,17,2,5,18,31,47,1,0,2,44,10,40,1,0
5/8/2017,22,,22,23,35,16,9,23,17,27,29,15,33,49,1,0,2,67,11,29,1,0
5/9/2017,21,,21,23,34,15,10,22,16,25,39,14,35,49,1,0,2,70,14,20,4,4
5/10/2017,22,,22,20,34,16,9,23,17,25,36,14,37,39,1,0,2,64,16,14,3,2
5/11/2017,21,,21,19,32,16,9,23,17,19,17,18,35,40,0,0,2,71,16,15,2,0
5/12/2017,21,,21,19,32,16,9,23,17,21,26,16,33,51,0,0,2,59,19,21,3,2
5/13/2017,22,,22,6,37,19,11,26,19,2,7,14,34,48,0,0,2,38,4,17,0,0
5/14/2017,22,,22,5,33,23,10,26,15,2,2,13,33,40,2,0,2,41,8,24,0,0
5/15/2017,22,,22,19,32,17,10,23,17,16,26,13,34,53,1,0,2,70,4,15,0,0
5/16/2017,22,,22,18,36,16,9,23,15,18,18,16,27,58,1,0,2,54,8,24,0,2
5/17/2017,22,,22,19,32,15,9,22,18,10,30,28,35,56,1,0,1,72,6,21,1,2
5/18/2017,21,,21,20,32,15,8,23,17,13,19,16,32,39,0,0,2,58,9,15,1,0
5/19/2017,20,,20,18,34,14,9,22,16,11,25,16,29,58,0,0,1,44,6,16,0,0
5/20/2017,22,,22,4,37,17,10,26,18,9,5,17,33,54,0,0,1,43,2,14,0,0
5/21/2017,22,,22,3,31,17,10,26,19,4,4,19,31,54,1,0,2,48,2,18,1,0
5/22/2017,21,,21,15,36,14,8,23,18,23,23,16,29,49,1,0,2,71,10,31,0,0
5/23/2017,21,,21,16,32,15,9,23,15,17,23,20,32,58,0,0,2,70,11,9,1,0
