Date, Open, High, Low, Close
04/12/19, 931.14, 936.24, 936.24, 936.24
04/11/19, 929.97, 931.13, 931.13, 931.13
04/10/19, 925.47, 929.98, 929.98, 929.98
04/09/19, 933.85, 925.47, 925.47, 925.47
04/08/19, 930.25, 933.91, 933.91, 933.91
04/05/19, 924.50, 930.29, 930.29, 930.29
04/04/19, 917.98, 924.49, 924.49, 924.49
04/03/19, 911.58, 917.99, 917.99, 917.99
04/02/19, 911.76, 911.54, 911.54, 911.54
04/01/19, 901.25, 911.77, 911.77, 911.77
03/29/19, 896.61, 901.20, 901.20, 901.20
03/28/19, 891.42, 896.58, 896.58, 896.58
03/27/19, 893.72, 891.42, 891.42, 891.42
03/26/19, 889.85, 893.71, 893.71, 893.71
03/25/19, 884.83, 889.79, 889.79, 889.79
03/22/19, 903.29, 884.84, 884.84, 884.84
03/21/19, 891.56, 903.38, 903.38, 903.38
03/20/19, 888.26, 891.57, 891.57, 891.57
03/19/19, 883.75, 888.26, 888.26, 888.26
03/18/19, 874.71, 883.85, 883.85, 883.85
03/15/19, 868.46, 874.67, 874.67, 874.67
03/14/19, 871.10, 868.50, 868.50, 868.50
03/13/19, 867.31, 871.21, 871.21, 871.21
03/12/19, 865.90, 867.86, 867.86, 867.86
03/11/19, 852.81, 865.86, 865.86, 865.85
03/08/19, 858.42, 852.82, 852.82, 852.82
03/07/19, 869.98, 858.46, 858.46, 858.46
03/06/19, 875.28, 870.42, 870.42, 870.42
03/05/19, 874.63, 875.33, 875.33, 875.33
03/04/19, 874.97, 873.56, 873.56, 873.56
03/01/19, 867.01, 874.97, 874.97, 874.97
02/28/19, 871.37, 867.03, 867.03, 867.03
02/27/19, 872.21, 871.93, 871.93, 871.93
02/26/19, 870.95, 872.28, 872.28, 872.28
02/25/19, 873.73, 870.98, 870.98, 870.98
02/22/19, 868.61, 873.67, 873.67, 873.67
02/21/19, 870.25, 868.61, 868.61, 868.61
02/20/19, 869.17, 870.36, 870.36, 870.36
02/19/19, 864.95, 869.17, 869.17, 869.17
02/15/19, 860.61, 865.07, 865.07, 865.07
02/14/19, 864.32, 860.57, 860.57, 860.57
02/13/19, 859.08, 864.37, 864.37, 864.37
02/12/19, 845.04, 859.06, 859.06, 859.06
02/11/19, 843.51, 845.04, 845.04, 845.04
02/08/19, 848.10, 843.51, 843.51, 843.51
02/07/19, 855.17, 847.81, 847.81, 847.81
02/06/19, 859.55, 855.28, 855.28, 855.28
02/05/19, 851.51, 859.70, 859.70, 859.70
02/04/19, 846.17, 851.55, 851.55, 851.55
02/01/19, 861.44, 846.16, 846.16, 846.16
01/31/19, 852.04, 861.45, 861.45, 861.45
01/30/19, 833.91, 852.16, 852.16, 852.16
01/29/19, 841.00, 834.14, 834.14, 834.14
01/28/19, 847.03, 841.03, 841.03, 841.03
01/25/19, 838.36, 847.09, 847.09, 847.09
01/24/19, 833.87, 838.30, 838.30, 838.30
01/23/19, 832.23, 833.88, 833.88, 833.87
01/22/19, 847.05, 832.01, 832.01, 832.01
01/18/19, 836.39, 847.21, 847.21, 847.21
01/17/19, 830.69, 836.35, 836.35, 836.35
01/16/19, 831.98, 830.72, 830.72, 830.72
01/15/19, 822.72, 832.03, 832.03, 832.03
01/14/19, 828.29, 822.70, 822.70, 822.70
01/11/19, 828.59, 828.34, 828.34, 828.34
01/10/19, 830.51, 828.59, 828.59, 828.59
01/09/19, 826.64, 830.53, 830.53, 830.53
01/08/19, 817.41, 826.69, 826.69, 826.69
01/07/19, 798.48, 817.35, 817.35, 817.35
01/04/19, 771.73, 798.52, 798.52, 798.52
01/03/19, 788.73, 771.54, 771.54, 771.54
01/02/19, 775.86, 788.75, 788.75, 788.75
12/31/18, 773.07, 781.50, 781.50, 781.50
12/28/18, 770.77, 773.06, 773.06, 773.06
12/27/18, 768.75, 770.75, 770.75, 770.75
12/26/18, 723.48, 768.89, 768.89, 768.89
12/24/18, 738.19, 723.47, 723.47, 723.47
12/21/18, 757.89, 738.36, 738.36, 738.36
12/20/18, 775.30, 757.90, 757.90, 757.90
12/19/18, 792.96, 775.35, 775.35, 775.35
12/18/18, 784.93, 793.03, 793.03, 793.03
12/17/18, 807.65, 784.91, 784.91, 784.91
12/14/18, 823.93, 807.72, 807.72, 807.72
12/13/18, 827.52, 823.98, 823.98, 823.98
12/12/18, 819.05, 827.61, 827.61, 827.61
12/11/18, 818.66, 818.98, 818.98, 818.98
12/10/18, 817.49, 818.62, 818.62, 818.62
12/07/18, 843.39, 817.53, 817.53, 817.53
12/06/18, 838.03, 843.47, 843.47, 843.47
12/04/18, 872.43, 838.35, 838.35, 838.35
12/03/18, 853.70, 872.44, 872.44, 872.44
11/30/18, 847.20, 853.59, 853.59, 853.59
11/29/18, 851.27, 847.71, 847.71, 847.71
11/28/18, 824.31, 851.37, 851.37, 851.37
11/27/18, 822.77, 824.77, 824.77, 824.77
11/26/18, 802.07, 822.81, 822.81, 822.81
11/23/18, 805.48, 802.04, 802.04, 802.04
11/21/18, 797.51, 805.62, 805.62, 805.62
11/20/18, 815.07, 797.62, 797.62, 797.62
11/19/18, 838.10, 815.36, 815.36, 815.36
11/16/18, 842.57, 838.11, 838.11, 838.11
11/15/18, 842.38, 842.66, 842.66, 842.66
11/14/18, 850.33, 842.58, 842.58, 842.58
11/13/18, 850.81, 850.61, 850.61, 850.61
11/12/18, 871.04, 850.89, 850.89, 850.89
11/09/18, 884.21, 871.01, 871.01, 871.01
11/08/18, 883.89, 884.23, 884.23, 884.23
11/07/18, 857.20, 883.91, 883.91, 883.91
11/06/18, 854.56, 857.13, 857.13, 857.13
11/05/18, 854.05, 852.52, 852.52, 852.52
11/02/18, 850.62, 854.04, 854.04, 854.04
11/01/18, 832.02, 850.53, 850.53, 850.53
10/31/18, 818.65, 831.97, 831.97, 831.97
10/30/18, 808.73, 818.63, 818.63, 818.63
10/29/18, 821.33, 808.68, 808.68, 808.68
10/26/18, 851.36, 821.21, 821.21, 821.21
10/25/18, 823.39, 851.45, 851.45, 851.45
10/24/18, 852.37, 823.39, 823.39, 823.39
10/23/18, 852.35, 851.57, 851.57, 851.57
10/22/18, 848.32, 852.55, 852.55, 852.55
10/19/18, 856.15, 848.51, 848.51, 848.51
10/18/18, 874.50, 856.17, 856.17, 856.17
10/17/18, 880.61, 874.58, 874.58, 874.58
10/16/18, 861.54, 880.65, 880.65, 880.65
10/15/18, 865.55, 861.52, 861.52, 861.52
10/12/18, 847.42, 865.58, 865.58, 865.58
