date,healthcare,overlap,share price,private limited company,limited company,health,share,hospitals,company,Hospital,pharmaceutical company
2017-08-17,44.0,1.0,57.0,25.0,54.0,44.0,58.0,62.0,66.0,65.0,10.0
2017-08-18,48.0,1.0,68.0,34.0,61.0,49.0,67.0,51.0,63.0,62.0,50.0
2017-08-19,24.0,1.0,18.0,33.0,47.0,37.0,22.0,56.0,51.0,63.0,29.0
2017-08-20,20.0,1.0,12.0,13.0,25.0,34.0,16.0,34.0,52.0,52.0,16.0
2017-08-21,41.0,1.0,64.0,25.0,64.0,50.0,64.0,62.0,62.0,65.0,36.0
2017-08-22,58.0,1.0,61.0,21.0,38.0,48.0,60.0,68.0,68.0,68.0,14.0
2017-08-23,57.0,1.0,61.0,46.0,68.0,49.0,61.0,73.0,62.0,63.0,14.0
2017-08-24,50.0,1.0,61.0,11.0,37.0,41.0,60.0,60.0,62.0,60.0,22.0
2017-08-25,29.0,1.0,25.0,17.0,38.0,39.0,27.0,60.0,51.0,61.0,12.0
2017-08-26,32.0,1.0,14.0,31.0,26.0,39.0,18.0,59.0,56.0,64.0,7.0
2017-08-27,23.0,1.0,11.0,14.0,29.0,41.0,15.0,56.0,48.0,52.0,32.0
2017-08-28,35.0,1.0,66.0,38.0,66.0,48.0,64.0,51.0,60.0,68.0,0.0
2017-08-29,44.0,1.0,61.0,44.0,65.0,47.0,61.0,64.0,61.0,66.0,20.0
2017-08-30,45.0,1.0,62.0,38.0,39.0,48.0,65.0,67.0,63.0,62.0,28.0
2017-08-31,41.0,1.0,60.0,21.0,49.0,49.0,61.0,47.0,61.0,62.0,21.0
2017-09-01,40.0,1.0,65.0,30.0,51.0,47.0,65.0,69.0,59.0,68.0,5.0
2017-09-02,28.0,1.0,17.0,19.0,43.0,35.0,21.0,56.0,53.0,65.0,42.0
2017-09-03,17.0,1.0,12.0,15.0,36.0,34.0,18.0,61.0,47.0,53.0,7.0
2017-09-04,40.0,1.0,65.0,40.0,40.0,45.0,65.0,65.0,63.0,68.0,27.0
2017-09-05,40.0,1.0,64.0,35.0,46.0,43.0,66.0,69.0,59.0,60.0,31.0
2017-09-06,49.0,1.0,63.0,38.0,58.0,47.0,64.0,51.0,63.0,69.0,18.0
2017-09-07,54.0,1.0,67.0,36.0,48.0,52.0,66.0,69.0,67.0,74.0,6.0
2017-09-08,39.0,,65.0,45.0,51.0,49.0,63.0,63.0,67.0,71.0,26.0
2017-09-09,26.0,,19.0,39.0,32.0,42.0,21.0,76.0,57.0,70.0,0.0
2017-09-10,18.0,,15.0,27.0,46.0,41.0,21.0,42.0,52.0,58.0,0.0
2017-09-11,39.0,,73.0,45.0,42.0,46.0,72.0,88.0,68.0,77.0,26.0
2017-09-12,43.0,,75.0,16.0,66.0,55.0,73.0,76.0,65.0,77.0,12.0
2017-09-13,45.0,,72.0,28.0,52.0,47.0,72.0,64.0,68.0,73.0,12.0
2017-09-14,60.0,,70.0,33.0,68.0,52.0,74.0,75.0,92.0,71.0,12.0
2017-09-15,37.0,,73.0,41.0,40.0,49.0,69.0,64.0,68.0,69.0,38.0
2017-09-16,44.0,,20.0,17.0,53.0,45.0,23.0,66.0,60.0,76.0,13.0
