date,technology,overlap,computer and information,information,science,design and technology,limited company,engineering,innovation,SEAT,investment fund
2017-04-27,92.0,,32.0,86.0,74.0,41.0,60.0,81.0,74.0,25.0,65.0
2017-04-28,76.0,,44.0,79.0,70.0,42.0,50.0,77.0,67.0,25.0,47.0
2017-04-29,55.0,,11.0,52.0,55.0,23.0,39.0,59.0,33.0,28.0,25.0
2017-04-30,59.0,,19.0,60.0,61.0,47.0,25.0,56.0,44.0,29.0,32.0
2017-05-01,80.0,,17.0,84.0,76.0,64.0,31.0,79.0,81.0,26.0,29.0
2017-05-02,90.0,,26.0,87.0,76.0,27.0,56.0,85.0,90.0,26.0,54.0
2017-05-03,86.0,,32.0,89.0,75.0,20.0,57.0,85.0,90.0,25.0,70.0
2017-05-04,92.0,,23.0,86.0,72.0,41.0,60.0,79.0,93.0,26.0,65.0
2017-05-05,79.0,,34.0,79.0,70.0,22.0,60.0,81.0,71.0,27.0,72.0
2017-05-06,62.0,,19.0,57.0,54.0,46.0,30.0,68.0,41.0,27.0,41.0
2017-05-07,60.0,,22.0,62.0,58.0,54.0,22.0,61.0,51.0,28.0,37.0
2017-05-08,91.0,,44.0,84.0,73.0,40.0,59.0,82.0,82.0,26.0,59.0
2017-05-09,89.0,,25.0,86.0,75.0,46.0,63.0,79.0,98.0,24.0,60.0
2017-05-10,87.0,,26.0,88.0,77.0,54.0,43.0,86.0,87.0,24.0,57.0
2017-05-11,89.0,,10.0,79.0,77.0,54.0,55.0,94.0,82.0,25.0,48.0
2017-05-12,80.0,,14.0,72.0,73.0,36.0,49.0,95.0,73.0,25.0,32.0
2017-05-13,54.0,,23.0,52.0,61.0,39.0,24.0,72.0,46.0,27.0,47.0
2017-05-14,54.0,,11.0,53.0,58.0,39.0,31.0,68.0,54.0,25.0,37.0
2017-05-15,89.0,,38.0,91.0,91.0,36.0,62.0,92.0,85.0,25.0,63.0
2017-05-16,89.0,,31.0,95.0,75.0,14.0,60.0,88.0,77.0,25.0,60.0
2017-05-17,90.0,,17.0,87.0,73.0,37.0,72.0,85.0,82.0,25.0,55.0
2017-05-18,82.0,,28.0,84.0,70.0,51.0,65.0,91.0,69.0,25.0,60.0
2017-05-19,78.0,,18.0,78.0,67.0,38.0,56.0,80.0,65.0,25.0,49.0
2017-05-20,52.0,,0.0,54.0,57.0,42.0,31.0,70.0,43.0,28.0,17.0
2017-05-21,55.0,,28.0,58.0,54.0,8.0,26.0,58.0,49.0,28.0,36.0
2017-05-22,87.0,,28.0,82.0,69.0,43.0,36.0,90.0,80.0,27.0,52.0
2017-05-23,83.0,,40.0,80.0,77.0,28.0,46.0,92.0,77.0,25.0,87.0
2017-05-24,86.0,,24.0,79.0,73.0,43.0,45.0,89.0,72.0,26.0,49.0
2017-05-25,81.0,,11.0,76.0,72.0,30.0,55.0,85.0,71.0,27.0,42.0
2017-05-26,77.0,,22.0,71.0,57.0,31.0,49.0,73.0,73.0,24.0,65.0
2017-05-27,52.0,,21.0,54.0,58.0,61.0,22.0,68.0,39.0,28.0,32.0
2017-05-28,51.0,,12.0,51.0,58.0,26.0,23.0,64.0,36.0,28.0,41.0
2017-05-29,73.0,,25.0,65.0,64.0,15.0,46.0,80.0,58.0,29.0,58.0
2017-05-30,78.0,1.0,34.0,77.0,85.0,36.0,56.0,92.0,79.0,26.0,47.0
2017-05-31,84.0,1.0,30.0,80.0,70.0,32.0,55.0,96.0,77.0,25.0,43.0
2017-06-01,87.0,1.0,18.0,77.0,70.0,66.0,62.0,88.0,65.0,26.0,75.0
2017-06-02,74.0,1.0,12.0,73.0,64.0,33.0,48.0,84.0,61.0,26.0,44.0
2017-06-03,57.0,1.0,28.0,54.0,54.0,40.0,36.0,68.0,36.0,26.0,33.0
2017-06-04,56.0,1.0,14.0,56.0,57.0,4.0,21.0,66.0,39.0,27.0,31.0
2017-06-05,90.0,1.0,26.0,78.0,72.0,23.0,47.0,93.0,64.0,27.0,64.0
2017-06-06,90.0,1.0,30.0,82.0,72.0,19.0,62.0,94.0,72.0,26.0,61.0
2017-06-07,85.0,1.0,19.0,82.0,67.0,18.0,57.0,92.0,75.0,26.0,51.0
2017-06-08,83.0,1.0,23.0,79.0,71.0,38.0,50.0,90.0,75.0,28.0,76.0
2017-06-09,76.0,1.0,18.0,69.0,61.0,15.0,46.0,85.0,62.0,31.0,55.0
2017-06-10,62.0,1.0,15.0,55.0,57.0,36.0,34.0,66.0,34.0,29.0,44.0
2017-06-11,55.0,1.0,11.0,57.0,55.0,18.0,21.0,70.0,43.0,30.0,31.0
2017-06-12,80.0,1.0,10.0,78.0,68.0,70.0,51.0,90.0,72.0,28.0,54.0
2017-06-13,90.0,1.0,25.0,81.0,70.0,25.0,56.0,93.0,67.0,26.0,63.0
2017-06-14,81.0,1.0,34.0,81.0,72.0,28.0,51.0,94.0,71.0,26.0,67.0
2017-06-15,85.0,1.0,20.0,78.0,70.0,40.0,68.0,89.0,64.0,27.0,65.0
2017-06-16,77.0,1.0,21.0,71.0,63.0,20.0,53.0,90.0,72.0,27.0,46.0
2017-06-17,56.0,1.0,9.0,54.0,57.0,22.0,34.0,75.0,38.0,28.0,26.0
2017-06-18,56.0,1.0,16.0,60.0,57.0,22.0,20.0,66.0,39.0,27.0,61.0
2017-06-19,91.0,1.0,26.0,81.0,69.0,49.0,46.0,92.0,85.0,27.0,79.0
2017-06-20,86.0,1.0,22.0,83.0,67.0,42.0,47.0,99.0,81.0,28.0,55.0
2017-06-21,89.0,1.0,22.0,82.0,67.0,72.0,55.0,94.0,74.0,27.0,48.0
2017-06-22,85.0,1.0,24.0,81.0,65.0,29.0,54.0,95.0,65.0,27.0,60.0
2017-06-23,81.0,1.0,18.0,72.0,58.0,38.0,48.0,92.0,56.0,29.0,51.0
2017-06-24,56.0,1.0,22.0,51.0,54.0,44.0,26.0,82.0,35.0,29.0,21.0
2017-06-25,57.0,1.0,12.0,52.0,53.0,41.0,28.0,66.0,36.0,30.0,43.0
2017-06-26,76.0,1.0,21.0,75.0,60.0,19.0,55.0,82.0,68.0,29.0,47.0
2017-06-27,83.0,1.0,16.0,74.0,63.0,38.0,46.0,89.0,73.0,30.0,58.0
2017-06-28,80.0,1.0,18.0,82.0,61.0,32.0,53.0,94.0,68.0,29.0,60.0
2017-06-29,77.0,1.0,18.0,78.0,61.0,43.0,56.0,94.0,70.0,27.0,49.0
2017-06-30,73.0,1.0,10.0,69.0,54.0,33.0,50.0,86.0,58.0,28.0,44.0
2017-07-01,54.0,1.0,19.0,58.0,54.0,32.0,33.0,70.0,33.0,30.0,26.0
2017-07-02,53.0,1.0,13.0,63.0,56.0,28.0,28.0,68.0,37.0,30.0,38.0
2017-07-03,74.0,1.0,13.0,72.0,59.0,24.0,56.0,80.0,61.0,28.0,44.0
2017-07-04,72.0,1.0,29.0,68.0,56.0,28.0,55.0,88.0,53.0,28.0,50.0
2017-07-05,86.0,1.0,25.0,78.0,64.0,75.0,61.0,91.0,77.0,27.0,50.0
2017-07-06,87.0,1.0,14.0,80.0,65.0,43.0,70.0,90.0,65.0,28.0,47.0
2017-07-07,75.0,1.0,13.0,72.0,56.0,24.0,51.0,84.0,66.0,27.0,57.0
