date,healthcare,overlap,health coverage,health,nhs,spire healthcare,continuing healthcare,BMI healthcare,nursing home,AXA PPP,AXA health
2017-06-21,43.0,1.0,30.0,76.0,46.0,6.0,27.0,7.0,44.0,0.0,7.0
2017-06-22,54.0,1.0,50.0,79.0,51.0,32.0,0.0,7.0,41.0,31.0,0.0
2017-06-23,48.0,1.0,48.0,73.0,43.0,0.0,11.0,31.0,43.0,13.0,40.0
2017-06-24,26.0,1.0,19.0,46.0,28.0,7.0,0.0,0.0,27.0,0.0,0.0
2017-06-25,24.0,1.0,17.0,46.0,36.0,0.0,0.0,0.0,29.0,0.0,13.0
2017-06-26,48.0,1.0,38.0,82.0,52.0,6.0,6.0,0.0,44.0,4.0,37.0
2017-06-27,52.0,1.0,49.0,84.0,53.0,22.0,0.0,33.0,40.0,24.0,8.0
2017-06-28,54.0,1.0,31.0,79.0,51.0,23.0,0.0,27.0,40.0,18.0,8.0
2017-06-29,45.0,1.0,36.0,75.0,50.0,18.0,18.0,0.0,42.0,18.0,16.0
2017-06-30,41.0,1.0,36.0,66.0,45.0,7.0,13.0,13.0,38.0,26.0,16.0
2017-07-01,20.0,1.0,14.0,42.0,27.0,0.0,7.0,0.0,29.0,4.0,0.0
2017-07-02,20.0,1.0,27.0,45.0,33.0,7.0,0.0,15.0,22.0,10.0,9.0
2017-07-03,34.0,1.0,29.0,69.0,52.0,0.0,0.0,27.0,37.0,11.0,8.0
2017-07-04,24.0,1.0,23.0,56.0,55.0,25.0,6.0,7.0,31.0,17.0,78.0
2017-07-05,40.0,1.0,29.0,76.0,51.0,9.0,12.0,40.0,42.0,13.0,27.0
2017-07-06,43.0,1.0,46.0,78.0,47.0,7.0,12.0,22.0,44.0,11.0,39.0
2017-07-07,40.0,1.0,32.0,71.0,44.0,62.0,13.0,8.0,38.0,0.0,31.0
2017-07-08,22.0,1.0,17.0,46.0,32.0,0.0,7.0,0.0,29.0,0.0,22.0
2017-07-09,22.0,1.0,31.0,50.0,32.0,0.0,14.0,0.0,20.0,5.0,0.0
2017-07-10,44.0,1.0,42.0,84.0,49.0,29.0,0.0,12.0,43.0,57.0,33.0
2017-07-11,46.0,1.0,68.0,80.0,48.0,15.0,12.0,20.0,46.0,12.0,49.0
2017-07-12,44.0,1.0,35.0,78.0,51.0,0.0,0.0,51.0,38.0,13.0,37.0
