date,UNH,overlap,JNJ,PFE,TMO,ABT,ABBV,LLY,DHR,MRK,MDT
2017-06-02,19.0,1.0,14.0,29.0,13.0,67.0,7.0,19.0,44.0,9.0,48.0
2017-06-03,14.0,1.0,8.0,11.0,11.0,71.0,3.0,42.0,37.0,7.0,33.0
2017-06-04,18.0,1.0,6.0,15.0,12.0,55.0,3.0,37.0,14.0,12.0,18.0
2017-06-05,26.0,1.0,16.0,35.0,11.0,56.0,11.0,16.0,38.0,14.0,32.0
2017-06-06,26.0,1.0,26.0,22.0,21.0,66.0,5.0,22.0,49.0,14.0,64.0
2017-06-07,40.0,1.0,25.0,33.0,22.0,60.0,4.0,18.0,66.0,10.0,68.0
2017-06-08,32.0,1.0,27.0,33.0,20.0,63.0,8.0,29.0,47.0,7.0,61.0
2017-06-09,24.0,1.0,25.0,20.0,20.0,65.0,4.0,10.0,48.0,8.0,49.0
2017-06-10,27.0,1.0,5.0,17.0,21.0,60.0,0.0,19.0,27.0,10.0,23.0
2017-06-11,10.0,1.0,4.0,15.0,23.0,48.0,3.0,29.0,9.0,11.0,39.0
2017-06-12,23.0,1.0,19.0,33.0,28.0,61.0,10.0,22.0,57.0,9.0,55.0
2017-06-13,26.0,1.0,19.0,40.0,20.0,77.0,8.0,36.0,42.0,12.0,47.0
2017-06-14,34.0,1.0,17.0,13.0,48.0,51.0,8.0,25.0,81.0,10.0,50.0
2017-06-15,28.0,1.0,21.0,17.0,25.0,66.0,17.0,36.0,26.0,10.0,62.0
2017-06-16,20.0,1.0,22.0,20.0,40.0,60.0,6.0,34.0,32.0,11.0,39.0
2017-06-17,15.0,1.0,6.0,15.0,24.0,57.0,3.0,37.0,18.0,12.0,23.0
2017-06-18,20.0,1.0,7.0,7.0,21.0,53.0,2.0,14.0,17.0,8.0,30.0
2017-06-19,33.0,1.0,17.0,19.0,31.0,78.0,8.0,22.0,44.0,5.0,42.0
2017-06-20,23.0,1.0,15.0,28.0,28.0,64.0,7.0,28.0,56.0,12.0,43.0
2017-06-21,25.0,1.0,14.0,20.0,42.0,62.0,1.0,18.0,71.0,8.0,57.0
2017-06-22,17.0,1.0,20.0,34.0,44.0,68.0,12.0,39.0,66.0,12.0,50.0
2017-06-23,23.0,1.0,20.0,20.0,56.0,78.0,9.0,43.0,57.0,7.0,48.0
2017-06-24,15.0,1.0,7.0,8.0,33.0,65.0,5.0,31.0,23.0,15.0,18.0
2017-06-25,20.0,1.0,1.0,19.0,25.0,67.0,0.0,38.0,17.0,5.0,36.0
2017-06-26,30.0,1.0,25.0,26.0,23.0,63.0,2.0,26.0,48.0,10.0,57.0
2017-06-27,31.0,1.0,25.0,28.0,40.0,73.0,6.0,33.0,68.0,13.0,61.0
2017-06-28,34.0,1.0,21.0,28.0,54.0,65.0,4.0,16.0,60.0,15.0,35.0
2017-06-29,21.0,1.0,17.0,27.0,57.0,54.0,11.0,63.0,45.0,16.0,52.0
2017-06-30,27.0,1.0,10.0,24.0,46.0,48.0,4.0,20.0,45.0,9.0,54.0
2017-07-01,12.0,1.0,4.0,17.0,46.0,61.0,0.0,23.0,35.0,14.0,28.0
2017-07-02,19.0,1.0,4.0,11.0,38.0,66.0,0.0,26.0,17.0,8.0,24.0
2017-07-03,14.0,1.0,13.0,18.0,36.0,76.0,9.0,27.0,47.0,15.0,62.0
2017-07-04,12.0,1.0,6.0,14.0,51.0,67.0,3.0,10.0,44.0,10.0,44.0
2017-07-05,20.0,1.0,22.0,20.0,51.0,64.0,3.0,40.0,58.0,10.0,41.0
2017-07-06,19.0,1.0,22.0,11.0,42.0,66.0,4.0,44.0,55.0,9.0,65.0
2017-07-07,28.0,1.0,22.0,30.0,57.0,60.0,3.0,46.0,50.0,10.0,60.0
2017-07-08,23.0,1.0,3.0,7.0,36.0,64.0,3.0,26.0,33.0,8.0,13.0
2017-07-09,15.0,1.0,6.0,7.0,25.0,62.0,5.0,45.0,21.0,9.0,30.0
